Class::Test,ArchiveStreamFactory:74, ArchiveStreamFactory:120, ArchiveStreamFactory:121, ArchiveStreamFactory:124, ArchiveStreamFactory:125, ArchiveStreamFactory:128, ArchiveStreamFactory:129, ArchiveStreamFactory:131, ArchiveStreamFactory:132, ArchiveStreamFactory:134, ArchiveStreamFactory:135, ArchiveStreamFactory:137, ArchiveStreamFactory:138, ArchiveStreamFactory:140, ArchiveStreamFactory:141, ArchiveStreamFactory:143, ArchiveStreamFactory:144, ArchiveStreamFactory:147, ArchiveStreamFactory:162, ArchiveStreamFactory:163, ArchiveStreamFactory:165, ArchiveStreamFactory:166, ArchiveStreamFactory:169, ArchiveStreamFactory:170, ArchiveStreamFactory:172, ArchiveStreamFactory:173, ArchiveStreamFactory:175, ArchiveStreamFactory:176, ArchiveStreamFactory:178, ArchiveStreamFactory:179, ArchiveStreamFactory:181, ArchiveStreamFactory:182, ArchiveStreamFactory:184, ArchiveStreamFactory:199, ArchiveStreamFactory:200, ArchiveStreamFactory:203, ArchiveStreamFactory:204, ArchiveStreamFactory:207, ArchiveStreamFactory:208, ArchiveStreamFactory:210, ArchiveStreamFactory:211, ArchiveStreamFactory:212, ArchiveStreamFactory:213, ArchiveStreamFactory:214, ArchiveStreamFactory:215, ArchiveStreamFactory:216, ArchiveStreamFactory:217, ArchiveStreamFactory:218, ArchiveStreamFactory:219, ArchiveStreamFactory:223, ArchiveStreamFactory:224, ArchiveStreamFactory:225, ArchiveStreamFactory:226, ArchiveStreamFactory:227, ArchiveStreamFactory:228, ArchiveStreamFactory:232, ArchiveStreamFactory:233, ArchiveStreamFactory:234, ArchiveStreamFactory:235, ArchiveStreamFactory:236, ArchiveStreamFactory:237, ArchiveStreamFactory:240, ArchiveStreamFactory:242, ArchiveStreamFactory:243, ArchiveStreamFactory:244, ArchiveStreamFactory:245, ArchiveStreamFactory:251, ArchiveStreamFactory:252, ArchiveStreamFactory:253, ArchiveStreamFactory:255, 
ArchiveStreamFactoryTest::shortTextFilesAreNoTARs, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,
ArchiveStreamFactory_ESTest::test00, 1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test01, 1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test02, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test03, 1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test04, 1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test05, 1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test06, 1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test07, 1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test08, 1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test09, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test10, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test11, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test12, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test13, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test14, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test15, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test16, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArchiveStreamFactory_ESTest::test17, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,
