Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 0.61, 0.74, 23, 5, 10
 5, 0.74, 0.95, 117, 164, 14
 6, 0.78, 0.66, 411, 206, 311
 9, 0.58, 0.85, 16, 17, 6
 13, 0.64, 0.73, 33, 0, 12
 14, 0.81, 0.93, 25, 0, 2
 17, 0.87, 0.91, 557, 384, 92
 18, 0.79, 0.56, 204, 37, 186
 19, 0.77, 0.52, 1, 222, 204
 20, 0.77, 0.51, 190, 26, 204
 21, 0.93, 0.93, 39, 0, 3
 23, 0.94, 0.86, 57, 42, 16
 24, 0.93, 0.83, 20, 75, 20
 25, 0.85, 1.0, 2, 0, 0
 26, 0.88, 0.88, 59, 64, 17
 27, 0.87, 0.93, 72, 58, 10
 28, 0.96, 0.67, 35, 2, 18
 30, 0.83, 0.97, 32, 0, 1
 32, 0.8, 0.63, 33, 20, 31
 33, 0.88, 0.88, 132, 21, 20
 37, 0.8, 0.95, 124, 156, 15
 42, 0.85, 0.89, 121, 33, 19
 47, 0.75, 0.96, 96, 146, 11
 49, 0.88, 0.86, 69, 169, 40
 50, 0.61, 0.56, 15, 15, 24
 51, 0.71, 0.66, 31, 8, 20
 52, 0.83, 0.9, 243, 289, 62
 54, 0.87, 0.93, 525, 392, 66
 56, 0.96, 0.91, 27, 12, 4
 58, 0.76, 1.0, 1, 1, 0
 61, 0.8, 1.0, 21, 2, 0
 64, 0.84, 0.85, 264, 34, 54
 65, 0.86, 0.83, 30, 19, 10
 67, 0.83, 0.91, 14, 46, 6
 68, 0.85, 0.86, 214, 83, 49
 69, 0.88, 0.96, 9, 45, 2
 70, 1.0, 0.73, 2, 9, 4
 73, 0.82, 0.67, 2, 76, 39
 78, 0.62, 0.58, 12, 33, 33
 76, 0.93, 0.88, 71, 15, 12
 80, 0.76, 0.47, 269, 304, 659
 81, 0.74, 0.32, 226, 167, 839
 
