Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 0.61, 0.74, 28, 0, 10
 5, 0.74, 0.95, 190, 91, 14
 6, 0.78, 0.66, 536, 81, 311
 9, 0.58, 0.85, 29, 4, 6
 13, 0.64, 0.73, 33, 0, 12
 14, 0.81, 0.93, 25, 0, 2
 17, 0.87, 0.91, 727, 214, 92
 18, 0.79, 0.56, 241, 0, 186
 19, 0.77, 0.52, 189, 34, 204
 20, 0.77, 0.51, 201, 15, 204
 21, 0.93, 0.93, 39, 0, 3
 23, 0.94, 0.86, 86, 13, 16
 24, 0.93, 0.83, 50, 45, 20
 25, 0.85, 1.0, 2, 0, 0
 26, 0.88, 0.88, 93, 30, 17
 27, 0.87, 0.93, 108, 22, 10
 28, 0.96, 0.67, 37, 0, 18
 30, 0.83, 0.97, 32, 0, 1
 32, 0.8, 0.63, 53, 0, 31
 33, 0.88, 0.88, 153, 0, 20
 37, 0.8, 0.95, 186, 94, 15
 42, 0.85, 0.89, 154, 0, 19
 47, 0.75, 0.96, 170, 72, 11
 49, 0.88, 0.86, 99, 139, 40
 50, 0.61, 0.56, 30, 0, 24
 51, 0.71, 0.66, 39, 0, 20
 52, 0.83, 0.9, 532, 0, 62
 54, 0.87, 0.93, 717, 200, 66
 56, 0.96, 0.91, 32, 7, 4
 58, 0.76, 1.0, 2, 0, 0
 61, 0.8, 1.0, 23, 0, 0
 64, 0.84, 0.85, 298, 0, 54
 65, 0.86, 0.83, 49, 0, 10
 67, 0.83, 0.91, 40, 20, 6
 68, 0.85, 0.86, 275, 22, 49
 69, 0.88, 0.96, 19, 35, 2
 70, 1.0, 0.73, 7, 4, 4
 73, 0.82, 0.67, 58, 20, 39
 78, 0.62, 0.58, 28, 17, 33
 76, 0.93, 0.88, 86, 0, 12
 80, 0.76, 0.47, 573, 0, 659
 81, 0.74, 0.32, 393, 0, 839
 
