Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 0.61, 0.74, 15, 13, 10
 5, 0.74, 0.95, 95, 186, 14
 6, 0.78, 0.66, 347, 270, 311
 9, 0.58, 0.85, 11, 22, 6
 13, 0.64, 0.73, 24, 9, 12
 14, 0.81, 0.93, 25, 0, 2
 17, 0.87, 0.91, 472, 469, 92
 18, 0.79, 0.56, 196, 45, 186
 19, 0.77, 0.52, 1, 222, 204
 20, 0.77, 0.51, 162, 54, 204
 21, 0.93, 0.93, 38, 1, 3
 23, 0.94, 0.86, 33, 66, 16
 24, 0.93, 0.83, 18, 77, 20
 25, 0.85, 1.0, 2, 0, 0
 26, 0.88, 0.88, 38, 85, 17
 27, 0.87, 0.93, 53, 77, 10
 28, 0.96, 0.67, 33, 4, 18
 30, 0.83, 0.97, 27, 5, 1
 32, 0.8, 0.63, 27, 26, 31
 33, 0.88, 0.88, 117, 36, 20
 37, 0.8, 0.95, 79, 201, 15
 42, 0.85, 0.89, 113, 41, 19
 47, 0.75, 0.96, 60, 182, 11
 49, 0.88, 0.86, 57, 181, 40
 50, 0.61, 0.56, 10, 20, 24
 51, 0.71, 0.66, 17, 22, 20
 52, 0.83, 0.9, 76, 456, 62
 54, 0.87, 0.93, 444, 473, 66
 56, 0.96, 0.91, 24, 15, 4
 58, 0.76, 1.0, 1, 1, 0
 61, 0.8, 1.0, 19, 4, 0
 64, 0.84, 0.85, 221, 77, 54
 65, 0.86, 0.83, 28, 21, 10
 67, 0.83, 0.91, 10, 50, 6
 68, 0.85, 0.86, 104, 193, 49
 69, 0.88, 0.96, 8, 46, 2
 70, 1.0, 0.73, 2, 9, 4
 73, 0.82, 0.67, 2, 76, 39
 78, 0.62, 0.58, 8, 37, 33
 76, 0.93, 0.88, 49, 37, 12
 80, 0.76, 0.47, 206, 367, 659
 81, 0.74, 0.32, 168, 225, 839
 
