Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 0.61, 0.74, 10, 18, 10
 5, 0.74, 0.95, 85, 196, 14
 6, 0.78, 0.66, 174, 443, 311
 9, 0.58, 0.85, 7, 26, 6
 13, 0.64, 0.73, 22, 11, 12
 14, 0.81, 0.93, 23, 2, 2
 17, 0.87, 0.91, 448, 493, 92
 18, 0.79, 0.56, 188, 53, 186
 19, 0.77, 0.52, 1, 222, 204
 20, 0.77, 0.51, 80, 136, 204
 21, 0.93, 0.93, 35, 4, 3
 23, 0.94, 0.86, 28, 71, 16
 24, 0.93, 0.83, 18, 77, 20
 25, 0.85, 1.0, 2, 0, 0
 26, 0.88, 0.88, 30, 93, 17
 27, 0.87, 0.93, 34, 96, 10
 28, 0.96, 0.67, 33, 4, 18
 30, 0.83, 0.97, 26, 6, 1
 32, 0.8, 0.63, 23, 30, 31
 33, 0.88, 0.88, 106, 47, 20
 37, 0.8, 0.95, 56, 224, 15
 42, 0.85, 0.89, 99, 55, 19
 47, 0.75, 0.96, 40, 202, 11
 49, 0.88, 0.86, 50, 188, 40
 50, 0.61, 0.56, 10, 20, 24
 51, 0.71, 0.66, 13, 26, 20
 52, 0.83, 0.9, 38, 494, 62
 54, 0.87, 0.93, 383, 534, 66
 56, 0.96, 0.91, 22, 17, 4
 58, 0.76, 1.0, 1, 1, 0
 61, 0.8, 1.0, 17, 6, 0
 64, 0.84, 0.85, 196, 102, 54
 65, 0.86, 0.83, 26, 23, 10
 67, 0.83, 0.91, 7, 53, 6
 68, 0.85, 0.86, 37, 260, 49
 69, 0.88, 0.96, 8, 46, 2
 70, 1.0, 0.73, 2, 9, 4
 73, 0.82, 0.67, 2, 76, 39
 78, 0.62, 0.58, 7, 38, 33
 76, 0.93, 0.88, 38, 48, 12
 80, 0.76, 0.47, 181, 392, 659
 81, 0.74, 0.32, 156, 237, 839
 
