Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 0.61, 0.74, 3, 25, 10
 5, 0.74, 0.95, 10, 271, 14
 6, 0.78, 0.66, 4, 613, 311
 9, 0.58, 0.85, 2, 31, 6
 13, 0.64, 0.73, 1, 32, 12
 14, 0.81, 0.93, 2, 23, 2
 17, 0.87, 0.91, 95, 846, 92
 18, 0.79, 0.56, 1, 240, 186
 19, 0.77, 0.52, 1, 222, 204
 20, 0.77, 0.51, 1, 215, 204
 21, 0.93, 0.93, 1, 38, 3
 23, 0.94, 0.86, 2, 97, 16
 24, 0.93, 0.83, 2, 93, 20
 25, 0.85, 1.0, 1, 1, 0
 26, 0.88, 0.88, 1, 122, 17
 27, 0.87, 0.93, 1, 129, 10
 28, 0.96, 0.67, 19, 18, 18
 30, 0.83, 0.97, 5, 27, 1
 32, 0.8, 0.63, 2, 51, 31
 33, 0.88, 0.88, 9, 144, 20
 37, 0.8, 0.95, 7, 273, 15
 42, 0.85, 0.89, 7, 147, 19
 47, 0.75, 0.96, 1, 241, 11
 49, 0.88, 0.86, 13, 225, 40
 50, 0.61, 0.56, 3, 27, 24
 51, 0.71, 0.66, 4, 35, 20
 52, 0.83, 0.9, 1, 531, 62
 54, 0.87, 0.93, 105, 812, 66
 56, 0.96, 0.91, 5, 34, 4
 58, 0.76, 1.0, 1, 1, 0
 61, 0.8, 1.0, 1, 22, 0
 64, 0.84, 0.85, 2, 296, 54
 65, 0.86, 0.83, 4, 45, 10
 67, 0.83, 0.91, 2, 58, 6
 68, 0.85, 0.86, 1, 296, 49
 69, 0.88, 0.96, 8, 46, 2
 70, 1.0, 0.73, 1, 10, 4
 73, 0.82, 0.67, 1, 77, 39
 78, 0.62, 0.58, 2, 43, 33
 76, 0.93, 0.88, 9, 77, 12
 80, 0.76, 0.47, 12, 561, 659
 81, 0.74, 0.32, 15, 378, 839
 
