Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 1.0, 0.74, 4, 24, 10
 5, 1.0, 0.95, 18, 263, 14
 6, 0.93, 0.66, 6, 611, 311
 9, 1.0, 0.85, 3, 30, 6
 13, 0.6, 0.73, 22, 11, 12
 14, 0.96, 0.93, 8, 17, 2
 18, 0.93, 0.56, 2, 239, 186
 17, 0.92, 0.91, 254, 687, 92
 19, 0.93, 0.52, 1, 222, 204
 20, 0.93, 0.51, 1, 215, 204
 21, 1.0, 0.93, 17, 22, 3
 23, 0.99, 0.86, 14, 85, 16
 24, 0.99, 0.83, 2, 93, 20
 25, 0.99, 1.0, 2, 0, 0
 26, 0.98, 0.88, 11, 112, 17
 27, 0.98, 0.93, 15, 115, 10
 28, 1.0, 0.67, 24, 13, 18
 30, 1.0, 0.97, 17, 15, 1
 32, 0.95, 0.63, 4, 49, 31
 33, 0.99, 0.88, 39, 114, 20
 37, 1.0, 0.95, 29, 251, 15
 42, 1.0, 0.89, 27, 127, 19
 47, 1.0, 0.96, 11, 231, 11
 49, 1.0, 0.86, 26, 212, 40
 50, 0.96, 0.56, 8, 22, 24
 51, 0.96, 0.66, 9, 30, 20
 52, 1.0, 0.9, 9, 523, 62
 54, 0.93, 0.93, 227, 690, 66
 56, 1.0, 0.91, 7, 32, 4
 58, 0.97, 1.0, 1, 1, 0
 61, 1.0, 1.0, 13, 10, 0
 64, 0.96, 0.85, 2, 296, 54
 65, 0.99, 0.83, 7, 42, 10
 67, 0.87, 0.91, 2, 58, 6
 68, 0.96, 0.86, 1, 296, 49
 69, 1.0, 0.96, 8, 46, 2
 70, 0.96, 0.73, 2, 9, 4
 73, 0.99, 0.67, 2, 76, 39
 78, 0.89, 0.58, 6, 39, 33
 76, 0.99, 0.88, 18, 68, 12
 80, 0.89, 0.47, 69, 504, 659
 81, 0.89, 0.32, 32, 361, 839
 
