Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 0.61, 0.74, 26, 2, 10
 5, 0.74, 0.95, 138, 143, 14
 6, 0.78, 0.66, 447, 170, 311
 9, 0.58, 0.85, 21, 12, 6
 13, 0.64, 0.73, 33, 0, 12
 14, 0.81, 0.93, 25, 0, 2
 17, 0.87, 0.91, 590, 351, 92
 18, 0.79, 0.56, 217, 24, 186
 19, 0.77, 0.52, 2, 221, 204
 20, 0.77, 0.51, 194, 22, 204
 21, 0.93, 0.93, 39, 0, 3
 23, 0.94, 0.86, 74, 25, 16
 24, 0.93, 0.83, 21, 74, 20
 25, 0.85, 1.0, 2, 0, 0
 26, 0.88, 0.88, 76, 47, 17
 27, 0.87, 0.93, 80, 50, 10
 28, 0.96, 0.67, 37, 0, 18
 30, 0.83, 0.97, 32, 0, 1
 32, 0.8, 0.63, 41, 12, 31
 33, 0.88, 0.88, 140, 13, 20
 37, 0.8, 0.95, 138, 142, 15
 42, 0.85, 0.89, 142, 12, 19
 47, 0.75, 0.96, 118, 124, 11
 49, 0.88, 0.86, 80, 158, 40
 50, 0.61, 0.56, 30, 0, 24
 51, 0.71, 0.66, 39, 0, 20
 52, 0.83, 0.9, 338, 194, 62
 54, 0.87, 0.93, 641, 276, 66
 56, 0.96, 0.91, 28, 11, 4
 58, 0.76, 1.0, 2, 0, 0
 61, 0.8, 1.0, 21, 2, 0
 64, 0.84, 0.85, 277, 21, 54
 65, 0.86, 0.83, 38, 11, 10
 67, 0.83, 0.91, 18, 42, 6
 68, 0.85, 0.86, 254, 43, 49
 69, 0.88, 0.96, 10, 44, 2
 70, 1.0, 0.73, 3, 8, 4
 73, 0.82, 0.67, 23, 55, 39
 78, 0.62, 0.58, 17, 28, 33
 76, 0.93, 0.88, 76, 10, 12
 80, 0.76, 0.47, 386, 187, 659
 81, 0.74, 0.32, 287, 106, 839
 
