Class::Test,CSVRecord:35, CSVRecord:52, CSVRecord:53, CSVRecord:54, CSVRecord:55, CSVRecord:56, CSVRecord:57, CSVRecord:67, CSVRecord:78, CSVRecord:95, CSVRecord:96, CSVRecord:99, CSVRecord:100, CSVRecord:101, CSVRecord:102, CSVRecord:105, CSVRecord:106, CSVRecord:107, CSVRecord:109, CSVRecord:120, CSVRecord:129, CSVRecord:139, CSVRecord:150, CSVRecord:161, CSVRecord:170, CSVRecord:180, CSVRecord:181, CSVRecord:182, CSVRecord:183, CSVRecord:185, CSVRecord:186, CSVRecord:195, CSVRecord:205, CSVRecord:214, CSVRecord:219, CSVRecord:223, 
RegressionTest3::test1501, 1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
RegressionTest3::test1502, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
RegressionTest3::test1503, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
RegressionTest3::test1504, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
RegressionTest3::test1505, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1506, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest3::test1507, 1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1508, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,
RegressionTest3::test1509, 1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,
RegressionTest3::test1510, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1511, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,
RegressionTest3::test1512, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,
RegressionTest3::test1513, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
RegressionTest3::test1514, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
RegressionTest3::test1515, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
