Class::Test,Lexer:69, Lexer:90, Lexer:111, Lexer:121, Lexer:124, Lexer:136, Lexer:140, Lexer:149, Lexer:159, Lexer:166, Lexer:170, Lexer:174, Lexer:178, Lexer:182, 
RegressionTest3::test1501, 1,0,0,0,0,0.5,0.5,0.5,0.5,1,1,0.5,1,0.5,
RegressionTest3::test1502, 1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,
RegressionTest3::test1503, 1,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,
RegressionTest3::test1504, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1505, 1,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1506, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1507, 1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,
RegressionTest3::test1508, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1509, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1510, 1,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,
RegressionTest3::test1511, 1,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,
RegressionTest3::test1512, 1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,
RegressionTest3::test1513, 1,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0.5,
RegressionTest3::test1514, 1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,
RegressionTest3::test1515, 1,0,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0.5,
RegressionTest3::test1516, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1517, 1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
RegressionTest3::test1518, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1519, 1,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1520, 1,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,
RegressionTest3::test1521, 1,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,
RegressionTest3::test1522, 1,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0,
RegressionTest3::test1523, 1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,
RegressionTest3::test1524, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1525, 1,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1526, 1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,
RegressionTest3::test1527, 1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,
RegressionTest3::test1528, 1,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,
RegressionTest3::test1529, 1,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,
RegressionTest3::test1530, 1,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,
RegressionTest3::test1531, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1532, 1,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,
RegressionTest3::test1533, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1534, 1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest3::test1535, 1,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0.5,
RegressionTest3::test1536, 1,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,
RegressionTest3::test1537, 1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest3::test1538, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1539, 0.5,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1540, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1541, 1,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1542, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1543, 1,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.5,
RegressionTest3::test1544, 1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1545, 1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,
RegressionTest3::test1546, 1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,
RegressionTest3::test1547, 1,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1548, 1,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1549, 1,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.5,
RegressionTest3::test1550, 1,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1551, 1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,
RegressionTest3::test1552, 1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,
RegressionTest3::test1553, 0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,
RegressionTest3::test1554, 1,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,
RegressionTest3::test1555, 1,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,
RegressionTest3::test1556, 1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,
RegressionTest3::test1557, 1,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.5,
RegressionTest3::test1558, 1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,
RegressionTest3::test1559, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1560, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1561, 1,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,
RegressionTest3::test1562, 1,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,
RegressionTest3::test1563, 1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest3::test1564, 1,0,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,
RegressionTest3::test1565, 1,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,
RegressionTest3::test1566, 1,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,
RegressionTest3::test1567, 1,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,
RegressionTest3::test1568, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1569, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1570, 1,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,
RegressionTest3::test1571, 1,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.5,
RegressionTest3::test1572, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1573, 1,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,
