Class::Test,ExtendedMessageFormat:147, ExtendedMessageFormat:159, ExtendedMessageFormat:160, ExtendedMessageFormat:173, ExtendedMessageFormat:177, ExtendedMessageFormat:182, ExtendedMessageFormat:183, ExtendedMessageFormat:184, ExtendedMessageFormat:185, ExtendedMessageFormat:197, ExtendedMessageFormat:202, ExtendedMessageFormat:204, ExtendedMessageFormat:266, ExtendedMessageFormat:269, ExtendedMessageFormat:272, ExtendedMessageFormat:275, ExtendedMessageFormat:279, ExtendedMessageFormat:282, ExtendedMessageFormat:308, ExtendedMessageFormat:312, ExtendedMessageFormat:317, ExtendedMessageFormat:336, ExtendedMessageFormat:338, ExtendedMessageFormat:341, ExtendedMessageFormat:346, ExtendedMessageFormat:354, ExtendedMessageFormat:357, ExtendedMessageFormat:378, ExtendedMessageFormat:379, ExtendedMessageFormat:385, ExtendedMessageFormat:406, ExtendedMessageFormat:413, ExtendedMessageFormat:415, ExtendedMessageFormat:421, ExtendedMessageFormat:426, ExtendedMessageFormat:454, ExtendedMessageFormat:482, ExtendedMessageFormat:484, ExtendedMessageFormat:487, ExtendedMessageFormat:488, ExtendedMessageFormat:495, ExtendedMessageFormat:498, ExtendedMessageFormat:526, ExtendedMessageFormat:529, ExtendedMessageFormat:530, 
ExtendedMessageFormat_ESTest::test00, 1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,1,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,
ExtendedMessageFormat_ESTest::test01, 1,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
ExtendedMessageFormat_ESTest::test02, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test03, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test04, 1,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
ExtendedMessageFormat_ESTest::test05, 1,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
ExtendedMessageFormat_ESTest::test06, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test07, 1,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,1,0.5,
ExtendedMessageFormat_ESTest::test08, 1,1,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,
ExtendedMessageFormat_ESTest::test09, 0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test10, 0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test11, 0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test12, 0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test13, 1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test14, 1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test15, 1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test16, 1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.5,0.5,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test17, 1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test18, 1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test19, 1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,1,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0507, 0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0512, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0515, 0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0517, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0522, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
