Class::Test , 17::VoidMethodCallMutator::18 , 47::MathMutator::7 , 38::MathMutator::22 , 37::NegateConditionalsMutator::5 , 39::PrimitiveReturnsMutator::27 , 59::MathMutator::12 , 59::EmptyObjectReturnValsMutator::15 , 134::ConditionalsBoundaryMutator::23 , 134::ConditionalsBoundaryMutator::26 , 135::MathMutator::33 , 132::NegateConditionalsMutator::10 , 134::NegateConditionalsMutator::23 , 134::NegateConditionalsMutator::26 , 139::EmptyObjectReturnValsMutator::46 , 122::ConditionalsBoundaryMutator::23 , 122::ConditionalsBoundaryMutator::26 , 122::ConditionalsBoundaryMutator::30 , 122::ConditionalsBoundaryMutator::33 , 122::ConditionalsBoundaryMutator::37 , 122::ConditionalsBoundaryMutator::40 , 123::MathMutator::47 , 120::NegateConditionalsMutator::10 , 122::NegateConditionalsMutator::23 , 122::NegateConditionalsMutator::26 , 122::NegateConditionalsMutator::30 , 122::NegateConditionalsMutator::33 , 122::NegateConditionalsMutator::37 , 122::NegateConditionalsMutator::40 , 127::EmptyObjectReturnValsMutator::60 , 109::ConditionalsBoundaryMutator::23 , 109::ConditionalsBoundaryMutator::26 , 109::ConditionalsBoundaryMutator::30 , 109::ConditionalsBoundaryMutator::33 , 110::MathMutator::40 , 107::NegateConditionalsMutator::10 , 109::NegateConditionalsMutator::23 , 109::NegateConditionalsMutator::26 , 109::NegateConditionalsMutator::30 , 109::NegateConditionalsMutator::33 , 115::EmptyObjectReturnValsMutator::53 , 66::MathMutator::31 , 64::NegateConditionalsMutator::14 , 67::EmptyObjectReturnValsMutator::36 , 69::EmptyObjectReturnValsMutator::41 , 77::MathMutator::31 , 75::NegateConditionalsMutator::14 , 78::EmptyObjectReturnValsMutator::36 , 80::EmptyObjectReturnValsMutator::41 , 96::ConditionalsBoundaryMutator::64 , 93::MathMutator::54 , 87::NegateConditionalsMutator::10 , 90::NegateConditionalsMutator::40 , 96::NegateConditionalsMutator::64 , 102::EmptyObjectReturnValsMutator::22 , 203::ConditionalsBoundaryMutator::20 , 203::ConditionalsBoundaryMutator::28 , 203::NegateConditionalsMutator::20 , 203::NegateConditionalsMutator::28 , 203::BooleanTrueReturnValsMutator::35 , 33::NegateConditionalsMutator::5 , 33::PrimitiveReturnsMutator::15 , 29::ConditionalsBoundaryMutator::7 , 29::NegateConditionalsMutator::7 , 29::BooleanTrueReturnValsMutator::13 , 183::MathMutator::14 , 182::NegateConditionalsMutator::6 , 184::BooleanFalseReturnValsMutator::19 , 186::BooleanTrueReturnValsMutator::23 , 192::MathMutator::14 , 191::NegateConditionalsMutator::6 , 193::BooleanFalseReturnValsMutator::19 , 195::BooleanTrueReturnValsMutator::23 , 143::NegateConditionalsMutator::5 , 143::NegateConditionalsMutator::12 , 143::BooleanTrueReturnValsMutator::18 , 148::BooleanFalseReturnValsMutator::9 , 148::BooleanTrueReturnValsMutator::9 , 156::NegateConditionalsMutator::5 , 161::NegateConditionalsMutator::39 , 162::BooleanFalseReturnValsMutator::43 , 157::BooleanTrueReturnValsMutator::9 , 164::BooleanTrueReturnValsMutator::51 , 178::ConditionalsBoundaryMutator::22 , 178::ConditionalsBoundaryMutator::25 , 175::NegateConditionalsMutator::5 , 178::NegateConditionalsMutator::22 , 178::NegateConditionalsMutator::25 , 176::BooleanTrueReturnValsMutator::9 , 178::BooleanTrueReturnValsMutator::31 , 152::BooleanFalseReturnValsMutator::13 , 152::BooleanTrueReturnValsMutator::13 , 171::ConditionalsBoundaryMutator::22 , 171::ConditionalsBoundaryMutator::25 , 171::ConditionalsBoundaryMutator::29 , 171::ConditionalsBoundaryMutator::32 , 168::NegateConditionalsMutator::5 , 171::NegateConditionalsMutator::22 , 171::NegateConditionalsMutator::25 , 171::NegateConditionalsMutator::29 , 171::NegateConditionalsMutator::32 , 169::BooleanTrueReturnValsMutator::9 , 171::BooleanTrueReturnValsMutator::39 , 25::PrimitiveReturnsMutator::5 , 208::EmptyObjectReturnValsMutator::8 , 43::MathMutator::7 
CharacterReaderTest::consume , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 
CharacterReaderTest::consumeToEnd , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CharacterReaderTest::handleCarriageReturnAsLineFeed , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CharacterReaderTest::mark , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CharacterReaderTest::unconsume , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 
CharacterReader_ESTest::test00 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 
CharacterReader_ESTest::test01 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 
CharacterReader_ESTest::test02 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 
CharacterReader_ESTest::test03 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 
CharacterReader_ESTest::test04 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
