Class::Test , 170::NegateConditionalsMutator::4 , 172::NegateConditionalsMutator::17 , 175::NegateConditionalsMutator::36 , 177::NegateConditionalsMutator::43 , 179::NegateConditionalsMutator::57 , 170::EmptyObjectReturnValsMutator::6 , 175::EmptyObjectReturnValsMutator::38 , 177::EmptyObjectReturnValsMutator::46 , 179::EmptyObjectReturnValsMutator::60 , 182::EmptyObjectReturnValsMutator::70 , 185::EmptyObjectReturnValsMutator::74 , 41::NegateConditionalsMutator::42 , 42::VoidMethodCallMutator::32 , 39::NullReturnValsMutator::36 , 56::NullReturnValsMutator::13 , 70::NullReturnValsMutator::13 , 114::ConditionalsBoundaryMutator::148 , 79::NegateConditionalsMutator::8 , 84::NegateConditionalsMutator::34 , 86::NegateConditionalsMutator::40 , 88::NegateConditionalsMutator::51 , 88::NegateConditionalsMutator::55 , 90::NegateConditionalsMutator::62 , 101::NegateConditionalsMutator::91 , 101::NegateConditionalsMutator::94 , 101::NegateConditionalsMutator::98 , 114::NegateConditionalsMutator::148 , 114::NegateConditionalsMutator::153 , 121::NegateConditionalsMutator::184 , 110::VoidMethodCallMutator::135 , 125::NullReturnValsMutator::202 , 160::NullReturnValsMutator::6 , 136::ConditionalsBoundaryMutator::4 , 137::ConditionalsBoundaryMutator::15 , 147::ConditionalsBoundaryMutator::58 , 151::MathMutator::73 , 136::NegateConditionalsMutator::4 , 137::NegateConditionalsMutator::15 , 145::NegateConditionalsMutator::48 , 146::NegateConditionalsMutator::53 , 147::NegateConditionalsMutator::58 , 136::VoidMethodCallMutator::11 , 148::VoidMethodCallMutator::65 , 153::VoidMethodCallMutator::81 , 156::NullReturnValsMutator::92 
DataUtilTest::discardsSpuriousByteOrderMark , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::shouldNotThrowExceptionOnEmptyCharset , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::shouldReturnNullForIllegalCharsetNames , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::testCharset , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::testQuotedCharset , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtil_ESTest::test00 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtil_ESTest::test01 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
