Class::Test , 31::VoidMethodCallMutator::8 , 32::VoidMethodCallMutator::12 , 160::NegateConditionalsMutator::16 , 157::VoidMethodCallMutator::4 , 170::EmptyObjectReturnValsMutator::47 , 173::EmptyObjectReturnValsMutator::61 , 279::ConditionalsBoundaryMutator::14 , 279::MathMutator::10 , 279::NegateConditionalsMutator::14 , 278::VoidMethodCallMutator::4 , 281::VoidMethodCallMutator::25 , 282::VoidMethodCallMutator::32 , 284::VoidMethodCallMutator::40 , 273::MathMutator::37 , 271::VoidMethodCallMutator::22 , 273::VoidMethodCallMutator::38 , 72::NegateConditionalsMutator::10 , 74::NegateConditionalsMutator::24 , 70::VoidMethodCallMutator::4 , 73::EmptyObjectReturnValsMutator::17 , 75::EmptyObjectReturnValsMutator::33 , 94::VoidMethodCallMutator::7 , 95::NullReturnValsMutator::11 , 84::NullReturnValsMutator::5 , 124::EmptyObjectReturnValsMutator::5 , 186::NullReturnValsMutator::8 , 195::EmptyObjectReturnValsMutator::6 , 199::NullReturnValsMutator::11 , 389::NegateConditionalsMutator::5 , 389::BooleanFalseReturnValsMutator::7 , 391::BooleanTrueReturnValsMutator::11 , 368::NegateConditionalsMutator::5 , 368::NullReturnValsMutator::17 , 104::VoidMethodCallMutator::4 , 105::BooleanFalseReturnValsMutator::11 , 105::BooleanTrueReturnValsMutator::11 , 398::MathMutator::18 , 398::MathMutator::29 , 396::NegateConditionalsMutator::5 , 398::NegateConditionalsMutator::21 , 399::PrimitiveReturnsMutator::34 , 384::MathMutator::9 , 318::ConditionalsBoundaryMutator::33 , 318::MathMutator::32 , 319::MathMutator::40 , 312::NegateConditionalsMutator::5 , 318::NegateConditionalsMutator::33 , 317::VoidMethodCallMutator::24 , 319::NullReturnValsMutator::43 , 358::VoidMethodCallMutator::12 , 359::EmptyObjectReturnValsMutator::17 , 363::VoidMethodCallMutator::13 , 215::NegateConditionalsMutator::5 , 217::NegateConditionalsMutator::15 , 216::NullReturnValsMutator::10 , 220::NullReturnValsMutator::25 , 207::NullReturnValsMutator::5 , 332::ConditionalsBoundaryMutator::20 , 333::MathMutator::27 , 332::NegateConditionalsMutator::20 , 331::VoidMethodCallMutator::15 , 333::NullReturnValsMutator::30 , 294::ConditionalsBoundaryMutator::10 , 294::NegateConditionalsMutator::10 , 295::VoidMethodCallMutator::19 , 227::VoidMethodCallMutator::5 , 228::VoidMethodCallMutator::11 , 114::VoidMethodCallMutator::4 , 115::VoidMethodCallMutator::10 , 116::NullReturnValsMutator::14 , 261::NegateConditionalsMutator::6 , 261::VoidMethodCallMutator::12 , 264::VoidMethodCallMutator::29 , 288::NegateConditionalsMutator::5 , 289::VoidMethodCallMutator::11 , 290::VoidMethodCallMutator::16 , 248::NegateConditionalsMutator::6 , 250::NegateConditionalsMutator::21 , 248::VoidMethodCallMutator::12 , 249::VoidMethodCallMutator::16 , 251::VoidMethodCallMutator::27 , 256::VoidMethodCallMutator::52 , 236::VoidMethodCallMutator::4 , 237::VoidMethodCallMutator::9 , 238::VoidMethodCallMutator::16 , 132::VoidMethodCallMutator::4 , 242::NegateConditionalsMutator::5 , 243::VoidMethodCallMutator::11 , 345::EmptyObjectReturnValsMutator::6 , 304::EmptyObjectReturnValsMutator::6 , 380::EmptyObjectReturnValsMutator::5 
ElementTest::after , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::before , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::dataset , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::getElementsByTagName , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::getNamespacedElementsByTag , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::parentlessToString , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::testAddNewElement , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::testAddNewHtml , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::testAddNewText , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
ElementTest::testAppendRowToTable , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
