Threshold Level,Avg All MS,Avg Stubborn MS,A12 Stubborn MS,Perfect MS,Avg Recall,A12 Recall,Perfect Recall,Avg Total Size,Avg Size of Stubborn Tests
Hard0.05,0.8,0.8,0.5,1.0,0.0,0.5,0.0,370,58
Hard0.025,0.8,0.79,0.5,0.5,0.0,0.5,0.0,370,45
Stb0.75,0.8,0.8,0.5,1.0,0.0,0.5,0.0,370,102
Random0.75,0.8,0.72,0.5,0.0,0.0,0.5,0.0,370,102
Stb0.5,0.8,0.8,0.5,1.0,0.0,0.5,0.0,370,98
Random0.5,0.8,0.7,0.5,0.0,0.0,0.5,0.0,370,98
Stb0.25,0.8,0.8,0.5,1.0,0.0,0.5,0.0,370,83
Random0.25,0.8,0.65,0.5,0.0,0.0,0.5,0.0,370,83
Stb0.1,0.8,0.8,0.5,1.0,0.0,0.5,0.0,370,64
Random0.1,0.8,0.62,0.5,0.0,0.0,0.5,0.0,370,64
Stb0.05,0.8,0.78,0.5,0.5,0.0,0.5,0.0,370,34
Random0.05,0.8,0.5,0.5,0.0,0.0,0.5,0.0,370,34
Stb0.01,0.8,0.39,0.5,0.0,0.0,0.5,0.0,370,5
Random0.01,0.8,0.34,0.5,0.0,0.0,0.5,0.0,370,5
Stb0.005,0.8,0.38,0.5,0.0,0.0,0.5,0.0,370,3
Random0.005,0.8,0.27,0.5,0.0,0.0,0.5,0.0,370,3
Stb0.003,0.8,0.0,0.5,0.0,0.0,0.5,0.0,370,0
Random0.003,0.8,0.0,0.5,0.0,0.0,0.5,0.0,370,0
Stb0.002,0.8,0.0,0.5,0.0,0.0,0.5,0.0,370,0
Random0.002,0.8,0.0,0.5,0.0,0.0,0.5,0.0,370,0
Stb0.001,0.8,0.0,0.5,0.0,0.0,0.5,0.0,370,0
Random0.001,0.8,0.0,0.5,0.0,0.0,0.5,0.0,370,0
