Key,Value,Count
Access modifier,package-private,277
Access modifier,public,233
Access modifier,private,106
Access modifier,protected,4
Is static,False,525
Is static,True,95
Is void,Non-void,458
Is void,Void,159
Is void,Constructor,3
Mutator,NegateConditionalsMutator,225
Mutator,VoidMethodCallMutator,148
Mutator,NullReturnValsMutator,104
Mutator,BooleanTrueReturnValsMutator,39
Mutator,EmptyObjectReturnValsMutator,33
Mutator,BooleanFalseReturnValsMutator,28
Mutator,ConditionalsBoundaryMutator,18
Mutator,MathMutator,18
Mutator,IncrementsMutator,5
Mutator,PrimitiveReturnsMutator,2
Nesting level,0,376
Nesting level,1,122
Nesting level,2,65
Nesting level,3,19
Nesting level,5,12
Nesting level,4,9
Nesting level,6,4
Nesting level,7,2
Nesting level,8,2
Nesting level,9,2
Nesting level,10,2
Nesting level,11,2
Nesting level,12,2
Nesting level,13,1
Type of node,ReturnStatement,206
Type of node,IfStatement,202
Type of node,MethodInvocation,148
Type of node,BinaryOperation,52
Type of node,TernaryExpression,7
Type of node,ForStatement,5
