Class::Test,BrentOptimizer:57, BrentOptimizer:90, BrentOptimizer:93, BrentOptimizer:97, BrentOptimizer:111, BrentOptimizer:123, BrentOptimizer:129, BrentOptimizer:135, BrentOptimizer:144, BrentOptimizer:146, BrentOptimizer:152, BrentOptimizer:154, BrentOptimizer:162, BrentOptimizer:171, BrentOptimizer:180, BrentOptimizer:181, BrentOptimizer:191, BrentOptimizer:196, BrentOptimizer:197, BrentOptimizer:209, BrentOptimizer:214, BrentOptimizer:220, BrentOptimizer:228, 
MultiStartUnivariateRealOptimizerTest::testSinMin, 0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,
MultiStartUnivariateRealOptimizerTest::testQuinticMin, 0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,1,1,1,0.5,0.5,
RegressionTest0::test001, 0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test007, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test010, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test011, 0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test012, 0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test013, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test014, 0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test015, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test016, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
