Class::Test,LevenbergMarquardtOptimizer:160, LevenbergMarquardtOptimizer:163, LevenbergMarquardtOptimizer:166, LevenbergMarquardtOptimizer:167, LevenbergMarquardtOptimizer:168, LevenbergMarquardtOptimizer:169, LevenbergMarquardtOptimizer:170, LevenbergMarquardtOptimizer:172, LevenbergMarquardtOptimizer:184, LevenbergMarquardtOptimizer:185, LevenbergMarquardtOptimizer:194, LevenbergMarquardtOptimizer:195, LevenbergMarquardtOptimizer:205, LevenbergMarquardtOptimizer:206, LevenbergMarquardtOptimizer:216, LevenbergMarquardtOptimizer:217, LevenbergMarquardtOptimizer:225, LevenbergMarquardtOptimizer:226, LevenbergMarquardtOptimizer:227, LevenbergMarquardtOptimizer:228, LevenbergMarquardtOptimizer:229, LevenbergMarquardtOptimizer:230, LevenbergMarquardtOptimizer:233, LevenbergMarquardtOptimizer:234, LevenbergMarquardtOptimizer:235, LevenbergMarquardtOptimizer:236, LevenbergMarquardtOptimizer:237, LevenbergMarquardtOptimizer:238, LevenbergMarquardtOptimizer:239, LevenbergMarquardtOptimizer:240, LevenbergMarquardtOptimizer:243, LevenbergMarquardtOptimizer:246, LevenbergMarquardtOptimizer:247, LevenbergMarquardtOptimizer:248, LevenbergMarquardtOptimizer:251, LevenbergMarquardtOptimizer:254, LevenbergMarquardtOptimizer:255, LevenbergMarquardtOptimizer:256, LevenbergMarquardtOptimizer:259, LevenbergMarquardtOptimizer:263, LevenbergMarquardtOptimizer:264, LevenbergMarquardtOptimizer:265, LevenbergMarquardtOptimizer:268, LevenbergMarquardtOptimizer:272, LevenbergMarquardtOptimizer:273, LevenbergMarquardtOptimizer:274, LevenbergMarquardtOptimizer:275, LevenbergMarquardtOptimizer:276, LevenbergMarquardtOptimizer:278, LevenbergMarquardtOptimizer:279, LevenbergMarquardtOptimizer:280, LevenbergMarquardtOptimizer:282, LevenbergMarquardtOptimizer:285, LevenbergMarquardtOptimizer:290, LevenbergMarquardtOptimizer:291, LevenbergMarquardtOptimizer:292, LevenbergMarquardtOptimizer:293, LevenbergMarquardtOptimizer:294, LevenbergMarquardtOptimizer:295, LevenbergMarquardtOptimizer:296, LevenbergMarquardtOptimizer:297, LevenbergMarquardtOptimizer:298, LevenbergMarquardtOptimizer:300, LevenbergMarquardtOptimizer:304, LevenbergMarquardtOptimizer:306, LevenbergMarquardtOptimizer:310, LevenbergMarquardtOptimizer:311, LevenbergMarquardtOptimizer:315, LevenbergMarquardtOptimizer:318, LevenbergMarquardtOptimizer:319, LevenbergMarquardtOptimizer:320, LevenbergMarquardtOptimizer:322, LevenbergMarquardtOptimizer:323, LevenbergMarquardtOptimizer:324, LevenbergMarquardtOptimizer:325, LevenbergMarquardtOptimizer:328, LevenbergMarquardtOptimizer:331, LevenbergMarquardtOptimizer:332, LevenbergMarquardtOptimizer:333, LevenbergMarquardtOptimizer:334, LevenbergMarquardtOptimizer:335, LevenbergMarquardtOptimizer:336, LevenbergMarquardtOptimizer:337, LevenbergMarquardtOptimizer:339, LevenbergMarquardtOptimizer:342, LevenbergMarquardtOptimizer:343, LevenbergMarquardtOptimizer:347, LevenbergMarquardtOptimizer:348, LevenbergMarquardtOptimizer:351, LevenbergMarquardtOptimizer:352, LevenbergMarquardtOptimizer:353, LevenbergMarquardtOptimizer:354, LevenbergMarquardtOptimizer:359, LevenbergMarquardtOptimizer:360, LevenbergMarquardtOptimizer:361, LevenbergMarquardtOptimizer:362, LevenbergMarquardtOptimizer:363, LevenbergMarquardtOptimizer:364, LevenbergMarquardtOptimizer:367, LevenbergMarquardtOptimizer:368, LevenbergMarquardtOptimizer:369, LevenbergMarquardtOptimizer:371, LevenbergMarquardtOptimizer:372, LevenbergMarquardtOptimizer:373, LevenbergMarquardtOptimizer:374, LevenbergMarquardtOptimizer:375, LevenbergMarquardtOptimizer:378, LevenbergMarquardtOptimizer:381, LevenbergMarquardtOptimizer:382, LevenbergMarquardtOptimizer:384, LevenbergMarquardtOptimizer:385, LevenbergMarquardtOptimizer:387, LevenbergMarquardtOptimizer:388, LevenbergMarquardtOptimizer:389, LevenbergMarquardtOptimizer:390, LevenbergMarquardtOptimizer:391, LevenbergMarquardtOptimizer:395, LevenbergMarquardtOptimizer:397, LevenbergMarquardtOptimizer:398, LevenbergMarquardtOptimizer:399, LevenbergMarquardtOptimizer:400, LevenbergMarquardtOptimizer:401, LevenbergMarquardtOptimizer:403, LevenbergMarquardtOptimizer:406, LevenbergMarquardtOptimizer:407, LevenbergMarquardtOptimizer:408, LevenbergMarquardtOptimizer:409, LevenbergMarquardtOptimizer:411, LevenbergMarquardtOptimizer:412, LevenbergMarquardtOptimizer:413, LevenbergMarquardtOptimizer:417, LevenbergMarquardtOptimizer:419, LevenbergMarquardtOptimizer:420, LevenbergMarquardtOptimizer:424, LevenbergMarquardtOptimizer:428, LevenbergMarquardtOptimizer:434, LevenbergMarquardtOptimizer:435, LevenbergMarquardtOptimizer:438, LevenbergMarquardtOptimizer:439, LevenbergMarquardtOptimizer:440, LevenbergMarquardtOptimizer:443, LevenbergMarquardtOptimizer:444, LevenbergMarquardtOptimizer:445, LevenbergMarquardtOptimizer:447, LevenbergMarquardtOptimizer:450, LevenbergMarquardtOptimizer:452, LevenbergMarquardtOptimizer:483, LevenbergMarquardtOptimizer:484, LevenbergMarquardtOptimizer:486, LevenbergMarquardtOptimizer:487, LevenbergMarquardtOptimizer:489, LevenbergMarquardtOptimizer:490, LevenbergMarquardtOptimizer:491, LevenbergMarquardtOptimizer:492, LevenbergMarquardtOptimizer:493, LevenbergMarquardtOptimizer:495, LevenbergMarquardtOptimizer:500, LevenbergMarquardtOptimizer:501, LevenbergMarquardtOptimizer:502, LevenbergMarquardtOptimizer:503, LevenbergMarquardtOptimizer:504, LevenbergMarquardtOptimizer:505, LevenbergMarquardtOptimizer:507, LevenbergMarquardtOptimizer:508, LevenbergMarquardtOptimizer:509, LevenbergMarquardtOptimizer:510, LevenbergMarquardtOptimizer:511, LevenbergMarquardtOptimizer:518, LevenbergMarquardtOptimizer:519, LevenbergMarquardtOptimizer:520, LevenbergMarquardtOptimizer:521, LevenbergMarquardtOptimizer:522, LevenbergMarquardtOptimizer:524, LevenbergMarquardtOptimizer:525, LevenbergMarquardtOptimizer:526, LevenbergMarquardtOptimizer:527, LevenbergMarquardtOptimizer:528, LevenbergMarquardtOptimizer:529, LevenbergMarquardtOptimizer:531, LevenbergMarquardtOptimizer:532, LevenbergMarquardtOptimizer:533, LevenbergMarquardtOptimizer:535, LevenbergMarquardtOptimizer:539, LevenbergMarquardtOptimizer:540, LevenbergMarquardtOptimizer:541, LevenbergMarquardtOptimizer:542, LevenbergMarquardtOptimizer:543, LevenbergMarquardtOptimizer:544, LevenbergMarquardtOptimizer:546, LevenbergMarquardtOptimizer:547, LevenbergMarquardtOptimizer:549, LevenbergMarquardtOptimizer:550, LevenbergMarquardtOptimizer:551, LevenbergMarquardtOptimizer:553, LevenbergMarquardtOptimizer:558, LevenbergMarquardtOptimizer:559, LevenbergMarquardtOptimizer:560, LevenbergMarquardtOptimizer:563, LevenbergMarquardtOptimizer:566, LevenbergMarquardtOptimizer:567, LevenbergMarquardtOptimizer:569, LevenbergMarquardtOptimizer:570, LevenbergMarquardtOptimizer:571, LevenbergMarquardtOptimizer:572, LevenbergMarquardtOptimizer:574, LevenbergMarquardtOptimizer:576, LevenbergMarquardtOptimizer:577, LevenbergMarquardtOptimizer:578, LevenbergMarquardtOptimizer:579, LevenbergMarquardtOptimizer:580, LevenbergMarquardtOptimizer:581, LevenbergMarquardtOptimizer:583, LevenbergMarquardtOptimizer:584, LevenbergMarquardtOptimizer:585, LevenbergMarquardtOptimizer:589, LevenbergMarquardtOptimizer:591, LevenbergMarquardtOptimizer:595, LevenbergMarquardtOptimizer:596, LevenbergMarquardtOptimizer:597, LevenbergMarquardtOptimizer:599, LevenbergMarquardtOptimizer:600, LevenbergMarquardtOptimizer:601, LevenbergMarquardtOptimizer:602, LevenbergMarquardtOptimizer:603, LevenbergMarquardtOptimizer:604, LevenbergMarquardtOptimizer:607, LevenbergMarquardtOptimizer:608, LevenbergMarquardtOptimizer:609, LevenbergMarquardtOptimizer:610, LevenbergMarquardtOptimizer:612, LevenbergMarquardtOptimizer:615, LevenbergMarquardtOptimizer:616, LevenbergMarquardtOptimizer:617, LevenbergMarquardtOptimizer:618, LevenbergMarquardtOptimizer:622, LevenbergMarquardtOptimizer:625, LevenbergMarquardtOptimizer:652, LevenbergMarquardtOptimizer:653, LevenbergMarquardtOptimizer:654, LevenbergMarquardtOptimizer:655, LevenbergMarquardtOptimizer:657, LevenbergMarquardtOptimizer:658, LevenbergMarquardtOptimizer:662, LevenbergMarquardtOptimizer:666, LevenbergMarquardtOptimizer:667, LevenbergMarquardtOptimizer:668, LevenbergMarquardtOptimizer:669, LevenbergMarquardtOptimizer:671, LevenbergMarquardtOptimizer:676, LevenbergMarquardtOptimizer:677, LevenbergMarquardtOptimizer:678, LevenbergMarquardtOptimizer:682, LevenbergMarquardtOptimizer:686, LevenbergMarquardtOptimizer:687, LevenbergMarquardtOptimizer:688, LevenbergMarquardtOptimizer:689, LevenbergMarquardtOptimizer:690, LevenbergMarquardtOptimizer:691, LevenbergMarquardtOptimizer:692, LevenbergMarquardtOptimizer:693, LevenbergMarquardtOptimizer:694, LevenbergMarquardtOptimizer:699, LevenbergMarquardtOptimizer:700, LevenbergMarquardtOptimizer:701, LevenbergMarquardtOptimizer:702, LevenbergMarquardtOptimizer:705, LevenbergMarquardtOptimizer:706, LevenbergMarquardtOptimizer:707, LevenbergMarquardtOptimizer:708, LevenbergMarquardtOptimizer:709, LevenbergMarquardtOptimizer:717, LevenbergMarquardtOptimizer:718, LevenbergMarquardtOptimizer:724, LevenbergMarquardtOptimizer:725, LevenbergMarquardtOptimizer:726, LevenbergMarquardtOptimizer:727, LevenbergMarquardtOptimizer:729, LevenbergMarquardtOptimizer:730, LevenbergMarquardtOptimizer:733, LevenbergMarquardtOptimizer:734, LevenbergMarquardtOptimizer:735, LevenbergMarquardtOptimizer:736, LevenbergMarquardtOptimizer:737, LevenbergMarquardtOptimizer:738, LevenbergMarquardtOptimizer:740, LevenbergMarquardtOptimizer:745, LevenbergMarquardtOptimizer:746, LevenbergMarquardtOptimizer:749, LevenbergMarquardtOptimizer:776, LevenbergMarquardtOptimizer:777, LevenbergMarquardtOptimizer:778, LevenbergMarquardtOptimizer:779, LevenbergMarquardtOptimizer:780, LevenbergMarquardtOptimizer:781, LevenbergMarquardtOptimizer:783, LevenbergMarquardtOptimizer:787, LevenbergMarquardtOptimizer:790, LevenbergMarquardtOptimizer:791, LevenbergMarquardtOptimizer:792, LevenbergMarquardtOptimizer:793, LevenbergMarquardtOptimizer:794, LevenbergMarquardtOptimizer:795, LevenbergMarquardtOptimizer:796, LevenbergMarquardtOptimizer:798, LevenbergMarquardtOptimizer:799, LevenbergMarquardtOptimizer:801, LevenbergMarquardtOptimizer:803, LevenbergMarquardtOptimizer:804, LevenbergMarquardtOptimizer:805, LevenbergMarquardtOptimizer:808, LevenbergMarquardtOptimizer:809, LevenbergMarquardtOptimizer:810, LevenbergMarquardtOptimizer:812, LevenbergMarquardtOptimizer:813, LevenbergMarquardtOptimizer:814, LevenbergMarquardtOptimizer:817, LevenbergMarquardtOptimizer:818, LevenbergMarquardtOptimizer:819, LevenbergMarquardtOptimizer:820, LevenbergMarquardtOptimizer:823, LevenbergMarquardtOptimizer:824, LevenbergMarquardtOptimizer:827, LevenbergMarquardtOptimizer:828, LevenbergMarquardtOptimizer:829, LevenbergMarquardtOptimizer:830, LevenbergMarquardtOptimizer:832, LevenbergMarquardtOptimizer:833, LevenbergMarquardtOptimizer:834, LevenbergMarquardtOptimizer:840, LevenbergMarquardtOptimizer:842, LevenbergMarquardtOptimizer:850, LevenbergMarquardtOptimizer:851, LevenbergMarquardtOptimizer:852, LevenbergMarquardtOptimizer:853, LevenbergMarquardtOptimizer:854, LevenbergMarquardtOptimizer:856, LevenbergMarquardtOptimizer:857, LevenbergMarquardtOptimizer:858, LevenbergMarquardtOptimizer:861, 
MinpackTest::testMinpackLinearFullRank, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackLinearRank1, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackLinearRank1ZeroColsAndRows, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackRosenbrok, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackHelicalValley, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackPowellSingular, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackFreudensteinRoth, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackBard, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackKowalikOsborne, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackMeyer, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
