Class::Test,ListPopulation:65, ListPopulation:68, ListPopulation:71, ListPopulation:90, ListPopulation:93, ListPopulation:108, ListPopulation:138, ListPopulation:152, ListPopulation:153, ListPopulation:177, ListPopulation:180, 
ElitisticListPopulationTest::testNextGeneration, 0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,
ElitisticListPopulationTest::testSetElitismRate, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testSetElitismRateTooLow, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testSetElitismRateTooHigh, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testConstructorTooLow, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testConstructorTooHigh, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testChromosomeListConstructorTooLow, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testChromosomeListConstructorTooHigh, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test00, 0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,
ListPopulation_ESTest::test01, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test02, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test03, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test04, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test05, 0.5,0,0,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test06, 0.5,0.5,0,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test07, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test08, 0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,
ListPopulation_ESTest::test09, 0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,
ListPopulation_ESTest::test10, 0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,
ListPopulation_ESTest::test11, 0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,
ListPopulation_ESTest::test12, 0.5,0.5,0.5,0,0,0,1,0,0,0,0,
ListPopulation_ESTest::test13, 0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,
ListPopulation_ESTest::test14, 0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,
ListPopulation_ESTest::test15, 0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,
ListPopulation_ESTest::test16, 0.5,0.5,0.5,0,0,0,0.5,0,0,0.5,0.5,
ListPopulationTest::testGetFittestChromosome, 0.5,0.5,0.5,0,0,0,0,1,1,0,0,
ListPopulationTest::testChromosomes, 0.5,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,
ListPopulationTest::testSetPopulationLimit, 0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,
ListPopulationTest::testConstructorPopulationLimitNotPositive, 0.5,0.5,0,0,0,0,0,0,0,0,0,
ListPopulationTest::testChromosomeListConstructorPopulationLimitNotPositive, 0.5,0.5,0,0,0,0,0,0,0,0,0,
ListPopulationTest::testConstructorListOfChromosomesBiggerThanPopulationSize, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,
ListPopulationTest::testAddTooManyChromosomes, 0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,
ListPopulationTest::testAddTooManyChromosomesSingleCall, 0.5,0.5,0.5,0,0,0,1,0,0,0,0,
ListPopulationTest::testIterator, 0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,
ListPopulationTest::testSetPopulationLimitTooSmall, 0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,
