Class::Test,BrentOptimizer:42, BrentOptimizer:46, BrentOptimizer:75, BrentOptimizer:77, BrentOptimizer:78, BrentOptimizer:80, BrentOptimizer:81, BrentOptimizer:84, BrentOptimizer:85, BrentOptimizer:86, BrentOptimizer:104, BrentOptimizer:105, BrentOptimizer:110, BrentOptimizer:111, BrentOptimizer:112, BrentOptimizer:113, BrentOptimizer:116, BrentOptimizer:117, BrentOptimizer:121, BrentOptimizer:122, BrentOptimizer:123, BrentOptimizer:125, BrentOptimizer:126, BrentOptimizer:129, BrentOptimizer:130, BrentOptimizer:131, BrentOptimizer:132, BrentOptimizer:133, BrentOptimizer:134, BrentOptimizer:135, BrentOptimizer:136, BrentOptimizer:138, BrentOptimizer:139, BrentOptimizer:141, BrentOptimizer:142, BrentOptimizer:145, BrentOptimizer:147, BrentOptimizer:148, BrentOptimizer:149, BrentOptimizer:152, BrentOptimizer:153, BrentOptimizer:154, BrentOptimizer:155, BrentOptimizer:156, BrentOptimizer:157, BrentOptimizer:159, BrentOptimizer:160, BrentOptimizer:161, BrentOptimizer:162, BrentOptimizer:163, BrentOptimizer:165, BrentOptimizer:166, BrentOptimizer:168, BrentOptimizer:171, BrentOptimizer:172, BrentOptimizer:174, BrentOptimizer:176, BrentOptimizer:178, BrentOptimizer:179, BrentOptimizer:182, BrentOptimizer:183, BrentOptimizer:184, BrentOptimizer:186, BrentOptimizer:191, BrentOptimizer:192, BrentOptimizer:194, BrentOptimizer:196, BrentOptimizer:200, BrentOptimizer:201, BrentOptimizer:203, BrentOptimizer:205, BrentOptimizer:209, BrentOptimizer:210, BrentOptimizer:211, BrentOptimizer:213, BrentOptimizer:216, BrentOptimizer:219, BrentOptimizer:220, BrentOptimizer:221, BrentOptimizer:225, BrentOptimizer:226, BrentOptimizer:228, BrentOptimizer:229, BrentOptimizer:230, BrentOptimizer:235, BrentOptimizer:236, BrentOptimizer:237, BrentOptimizer:239, BrentOptimizer:241, BrentOptimizer:242, BrentOptimizer:243, BrentOptimizer:244, BrentOptimizer:245, BrentOptimizer:246, BrentOptimizer:248, BrentOptimizer:249, BrentOptimizer:251, BrentOptimizer:253, BrentOptimizer:254, BrentOptimizer:255, BrentOptimizer:256, BrentOptimizer:257, BrentOptimizer:258, BrentOptimizer:259, BrentOptimizer:260, BrentOptimizer:261, BrentOptimizer:262, BrentOptimizer:263, BrentOptimizer:266, BrentOptimizer:267, BrentOptimizer:269, BrentOptimizer:270, BrentOptimizer:286, BrentOptimizer:287, BrentOptimizer:289, BrentOptimizer:290, BrentOptimizer:293, BrentOptimizer:294, BrentOptimizer:296, 
RegressionTest0::test001, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test007, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test010, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
