Class::Test,BOBYQAOptimizer:241, BOBYQAOptimizer:246, BOBYQAOptimizer:298, BOBYQAOptimizer:302, BOBYQAOptimizer:303, BOBYQAOptimizer:314, BOBYQAOptimizer:315, BOBYQAOptimizer:409, BOBYQAOptimizer:443, BOBYQAOptimizer:446, BOBYQAOptimizer:448, BOBYQAOptimizer:449, BOBYQAOptimizer:450, BOBYQAOptimizer:457, BOBYQAOptimizer:458, BOBYQAOptimizer:460, BOBYQAOptimizer:464, BOBYQAOptimizer:497, BOBYQAOptimizer:502, BOBYQAOptimizer:516, BOBYQAOptimizer:521, BOBYQAOptimizer:523, BOBYQAOptimizer:526, BOBYQAOptimizer:529, BOBYQAOptimizer:531, BOBYQAOptimizer:537, BOBYQAOptimizer:556, BOBYQAOptimizer:561, BOBYQAOptimizer:564, BOBYQAOptimizer:570, BOBYQAOptimizer:574, BOBYQAOptimizer:585, BOBYQAOptimizer:588, BOBYQAOptimizer:593, BOBYQAOptimizer:595, BOBYQAOptimizer:599, BOBYQAOptimizer:605, BOBYQAOptimizer:608, BOBYQAOptimizer:620, BOBYQAOptimizer:622, BOBYQAOptimizer:626, BOBYQAOptimizer:635, BOBYQAOptimizer:644, BOBYQAOptimizer:676, BOBYQAOptimizer:687, BOBYQAOptimizer:691, BOBYQAOptimizer:701, BOBYQAOptimizer:703, BOBYQAOptimizer:707, BOBYQAOptimizer:714, BOBYQAOptimizer:719, BOBYQAOptimizer:724, BOBYQAOptimizer:743, BOBYQAOptimizer:747, BOBYQAOptimizer:748, BOBYQAOptimizer:766, BOBYQAOptimizer:767, BOBYQAOptimizer:771, BOBYQAOptimizer:780, BOBYQAOptimizer:789, BOBYQAOptimizer:810, BOBYQAOptimizer:818, BOBYQAOptimizer:821, BOBYQAOptimizer:828, BOBYQAOptimizer:830, BOBYQAOptimizer:841, BOBYQAOptimizer:843, BOBYQAOptimizer:845, BOBYQAOptimizer:852, BOBYQAOptimizer:862, BOBYQAOptimizer:868, BOBYQAOptimizer:869, BOBYQAOptimizer:874, BOBYQAOptimizer:877, BOBYQAOptimizer:884, BOBYQAOptimizer:890, BOBYQAOptimizer:897, BOBYQAOptimizer:899, BOBYQAOptimizer:908, BOBYQAOptimizer:917, BOBYQAOptimizer:928, BOBYQAOptimizer:943, BOBYQAOptimizer:945, BOBYQAOptimizer:950, BOBYQAOptimizer:952, BOBYQAOptimizer:961, BOBYQAOptimizer:965, BOBYQAOptimizer:967, BOBYQAOptimizer:971, BOBYQAOptimizer:975, BOBYQAOptimizer:979, BOBYQAOptimizer:985, BOBYQAOptimizer:989, BOBYQAOptimizer:994, BOBYQAOptimizer:995, BOBYQAOptimizer:1002, BOBYQAOptimizer:1004, BOBYQAOptimizer:1008, BOBYQAOptimizer:1018, BOBYQAOptimizer:1019, BOBYQAOptimizer:1023, BOBYQAOptimizer:1025, BOBYQAOptimizer:1028, BOBYQAOptimizer:1032, BOBYQAOptimizer:1034, BOBYQAOptimizer:1042, BOBYQAOptimizer:1044, BOBYQAOptimizer:1048, BOBYQAOptimizer:1056, BOBYQAOptimizer:1077, BOBYQAOptimizer:1080, BOBYQAOptimizer:1081, BOBYQAOptimizer:1082, BOBYQAOptimizer:1085, BOBYQAOptimizer:1088, BOBYQAOptimizer:1100, BOBYQAOptimizer:1103, BOBYQAOptimizer:1120, BOBYQAOptimizer:1122, BOBYQAOptimizer:1127, BOBYQAOptimizer:1139, BOBYQAOptimizer:1141, BOBYQAOptimizer:1144, BOBYQAOptimizer:1156, BOBYQAOptimizer:1159, BOBYQAOptimizer:1162, BOBYQAOptimizer:1171, BOBYQAOptimizer:1174, BOBYQAOptimizer:1176, BOBYQAOptimizer:1190, BOBYQAOptimizer:1196, BOBYQAOptimizer:1197, BOBYQAOptimizer:1205, BOBYQAOptimizer:1208, BOBYQAOptimizer:1271, BOBYQAOptimizer:1274, BOBYQAOptimizer:1276, BOBYQAOptimizer:1285, BOBYQAOptimizer:1288, BOBYQAOptimizer:1290, BOBYQAOptimizer:1294, BOBYQAOptimizer:1310, BOBYQAOptimizer:1311, BOBYQAOptimizer:1316, BOBYQAOptimizer:1329, BOBYQAOptimizer:1331, BOBYQAOptimizer:1332, BOBYQAOptimizer:1336, BOBYQAOptimizer:1342, BOBYQAOptimizer:1343, BOBYQAOptimizer:1347, BOBYQAOptimizer:1362, BOBYQAOptimizer:1366, BOBYQAOptimizer:1374, BOBYQAOptimizer:1376, BOBYQAOptimizer:1388, BOBYQAOptimizer:1393, BOBYQAOptimizer:1394, BOBYQAOptimizer:1407, BOBYQAOptimizer:1417, BOBYQAOptimizer:1422, BOBYQAOptimizer:1425, BOBYQAOptimizer:1440, BOBYQAOptimizer:1443, BOBYQAOptimizer:1444, BOBYQAOptimizer:1450, BOBYQAOptimizer:1456, BOBYQAOptimizer:1459, BOBYQAOptimizer:1460, BOBYQAOptimizer:1462, BOBYQAOptimizer:1467, BOBYQAOptimizer:1485, BOBYQAOptimizer:1487, BOBYQAOptimizer:1492, BOBYQAOptimizer:1494, BOBYQAOptimizer:1508, BOBYQAOptimizer:1510, BOBYQAOptimizer:1515, BOBYQAOptimizer:1518, BOBYQAOptimizer:1519, BOBYQAOptimizer:1521, BOBYQAOptimizer:1539, BOBYQAOptimizer:1540, BOBYQAOptimizer:1550, BOBYQAOptimizer:1551, BOBYQAOptimizer:1597, BOBYQAOptimizer:1599, BOBYQAOptimizer:1602, BOBYQAOptimizer:1606, BOBYQAOptimizer:1609, BOBYQAOptimizer:1611, BOBYQAOptimizer:1630, BOBYQAOptimizer:1631, BOBYQAOptimizer:1634, BOBYQAOptimizer:1639, BOBYQAOptimizer:1642, BOBYQAOptimizer:1646, BOBYQAOptimizer:1656, BOBYQAOptimizer:1671, BOBYQAOptimizer:1675, BOBYQAOptimizer:1678, BOBYQAOptimizer:1684, BOBYQAOptimizer:1688, BOBYQAOptimizer:1691, BOBYQAOptimizer:1701, BOBYQAOptimizer:1702, BOBYQAOptimizer:1705, BOBYQAOptimizer:1712, BOBYQAOptimizer:1718, BOBYQAOptimizer:1719, BOBYQAOptimizer:1722, BOBYQAOptimizer:1754, BOBYQAOptimizer:1849, BOBYQAOptimizer:1851, BOBYQAOptimizer:1852, BOBYQAOptimizer:1855, BOBYQAOptimizer:1856, BOBYQAOptimizer:1860, BOBYQAOptimizer:1878, BOBYQAOptimizer:1886, BOBYQAOptimizer:1887, BOBYQAOptimizer:1889, BOBYQAOptimizer:1898, BOBYQAOptimizer:1901, BOBYQAOptimizer:1905, BOBYQAOptimizer:1921, BOBYQAOptimizer:1922, BOBYQAOptimizer:1930, BOBYQAOptimizer:1934, BOBYQAOptimizer:1940, BOBYQAOptimizer:1949, BOBYQAOptimizer:1950, BOBYQAOptimizer:1952, BOBYQAOptimizer:1957, BOBYQAOptimizer:1967, BOBYQAOptimizer:1970, BOBYQAOptimizer:1972, BOBYQAOptimizer:1978, BOBYQAOptimizer:1980, BOBYQAOptimizer:1995, BOBYQAOptimizer:1998, BOBYQAOptimizer:2004, BOBYQAOptimizer:2013, BOBYQAOptimizer:2014, BOBYQAOptimizer:2017, BOBYQAOptimizer:2035, BOBYQAOptimizer:2041, BOBYQAOptimizer:2042, BOBYQAOptimizer:2064, BOBYQAOptimizer:2068, BOBYQAOptimizer:2069, BOBYQAOptimizer:2084, BOBYQAOptimizer:2085, BOBYQAOptimizer:2088, BOBYQAOptimizer:2092, BOBYQAOptimizer:2105, BOBYQAOptimizer:2107, BOBYQAOptimizer:2116, BOBYQAOptimizer:2118, BOBYQAOptimizer:2136, BOBYQAOptimizer:2137, BOBYQAOptimizer:2152, BOBYQAOptimizer:2157, BOBYQAOptimizer:2161, BOBYQAOptimizer:2170, BOBYQAOptimizer:2173, BOBYQAOptimizer:2181, BOBYQAOptimizer:2191, BOBYQAOptimizer:2193, BOBYQAOptimizer:2203, BOBYQAOptimizer:2212, BOBYQAOptimizer:2219, BOBYQAOptimizer:2225, BOBYQAOptimizer:2228, BOBYQAOptimizer:2245, BOBYQAOptimizer:2247, BOBYQAOptimizer:2248, BOBYQAOptimizer:2256, BOBYQAOptimizer:2257, BOBYQAOptimizer:2258, BOBYQAOptimizer:2263, BOBYQAOptimizer:2266, BOBYQAOptimizer:2269, BOBYQAOptimizer:2310, BOBYQAOptimizer:2311, BOBYQAOptimizer:2320, BOBYQAOptimizer:2322, BOBYQAOptimizer:2330, BOBYQAOptimizer:2342, BOBYQAOptimizer:2354, BOBYQAOptimizer:2361, BOBYQAOptimizer:2366, BOBYQAOptimizer:2369, BOBYQAOptimizer:2390, BOBYQAOptimizer:2395, BOBYQAOptimizer:2408, BOBYQAOptimizer:2412, 
BOBYQAOptimizer_ESTest::test1, 0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,
BOBYQAOptimizer_ESTest::test2, 0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,
BOBYQAOptimizer_ESTest::test3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,
BOBYQAOptimizer_ESTest::test4, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,
BOBYQAOptimizer_ESTest::test5, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,
BOBYQAOptimizerTest::testInitOutOfBounds, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOBYQAOptimizerTest::testBoundariesDimensionMismatch, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOBYQAOptimizerTest::testProblemDimensionTooSmall, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,
BOBYQAOptimizerTest::testMaxEvaluations, 0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0,0,0,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,
BOBYQAOptimizerTest::testRosen, 0.5,0.5,1,0.5,0,0.5,0,1,0.5,0.5,0,0,0,0,0,0,0,1,1,0.5,1,0.5,0.5,0.5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,0.5,0.5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,0.5,0,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,0.5,0.5,1,1,0.5,0,0.5,0,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,1,1,0.5,0.5,0,0,1,0.5,1,0.5,1,0.5,1,1,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0,1,0.5,1,1,1,1,0.5,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,
