Class::Test,LevenbergMarquardtOptimizer:263, LevenbergMarquardtOptimizer:268, LevenbergMarquardtOptimizer:273, LevenbergMarquardtOptimizer:275, LevenbergMarquardtOptimizer:285, LevenbergMarquardtOptimizer:291, LevenbergMarquardtOptimizer:292, LevenbergMarquardtOptimizer:295, LevenbergMarquardtOptimizer:297, LevenbergMarquardtOptimizer:304, LevenbergMarquardtOptimizer:310, LevenbergMarquardtOptimizer:315, LevenbergMarquardtOptimizer:318, LevenbergMarquardtOptimizer:332, LevenbergMarquardtOptimizer:342, LevenbergMarquardtOptimizer:352, LevenbergMarquardtOptimizer:359, LevenbergMarquardtOptimizer:363, LevenbergMarquardtOptimizer:368, LevenbergMarquardtOptimizer:378, LevenbergMarquardtOptimizer:381, LevenbergMarquardtOptimizer:382, LevenbergMarquardtOptimizer:384, LevenbergMarquardtOptimizer:389, LevenbergMarquardtOptimizer:395, LevenbergMarquardtOptimizer:399, LevenbergMarquardtOptimizer:407, LevenbergMarquardtOptimizer:417, LevenbergMarquardtOptimizer:419, LevenbergMarquardtOptimizer:424, LevenbergMarquardtOptimizer:434, LevenbergMarquardtOptimizer:439, LevenbergMarquardtOptimizer:444, LevenbergMarquardtOptimizer:483, LevenbergMarquardtOptimizer:486, LevenbergMarquardtOptimizer:489, LevenbergMarquardtOptimizer:492, LevenbergMarquardtOptimizer:501, LevenbergMarquardtOptimizer:509, LevenbergMarquardtOptimizer:519, LevenbergMarquardtOptimizer:520, LevenbergMarquardtOptimizer:525, LevenbergMarquardtOptimizer:528, LevenbergMarquardtOptimizer:540, LevenbergMarquardtOptimizer:543, LevenbergMarquardtOptimizer:551, LevenbergMarquardtOptimizer:559, LevenbergMarquardtOptimizer:563, LevenbergMarquardtOptimizer:566, LevenbergMarquardtOptimizer:570, LevenbergMarquardtOptimizer:577, LevenbergMarquardtOptimizer:589, LevenbergMarquardtOptimizer:595, LevenbergMarquardtOptimizer:599, LevenbergMarquardtOptimizer:603, LevenbergMarquardtOptimizer:608, LevenbergMarquardtOptimizer:615, LevenbergMarquardtOptimizer:617, LevenbergMarquardtOptimizer:652, LevenbergMarquardtOptimizer:654, LevenbergMarquardtOptimizer:662, LevenbergMarquardtOptimizer:668, LevenbergMarquardtOptimizer:677, LevenbergMarquardtOptimizer:682, LevenbergMarquardtOptimizer:687, LevenbergMarquardtOptimizer:705, LevenbergMarquardtOptimizer:725, LevenbergMarquardtOptimizer:726, LevenbergMarquardtOptimizer:729, LevenbergMarquardtOptimizer:733, LevenbergMarquardtOptimizer:734, LevenbergMarquardtOptimizer:737, LevenbergMarquardtOptimizer:745, LevenbergMarquardtOptimizer:776, LevenbergMarquardtOptimizer:779, LevenbergMarquardtOptimizer:787, LevenbergMarquardtOptimizer:792, LevenbergMarquardtOptimizer:794, LevenbergMarquardtOptimizer:798, LevenbergMarquardtOptimizer:803, LevenbergMarquardtOptimizer:808, LevenbergMarquardtOptimizer:818, LevenbergMarquardtOptimizer:827, LevenbergMarquardtOptimizer:829, LevenbergMarquardtOptimizer:833, LevenbergMarquardtOptimizer:850, LevenbergMarquardtOptimizer:853, LevenbergMarquardtOptimizer:857, 
MinpackTest::testMinpackLinearFullRank, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackLinearRank1, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackLinearRank1ZeroColsAndRows, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackRosenbrok, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackHelicalValley, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackPowellSingular, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackFreudensteinRoth, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackBard, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackKowalikOsborne, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackMeyer, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackWatson, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackBox3Dimensional, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackJennrichSampson, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackBrownDennis, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackChebyquad, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackBrownAlmostLinear, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MinpackTest::testMinpackOsborne1, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
