Class::Test,AbstractLeastSquaresOptimizer:173, AbstractLeastSquaresOptimizer:186, AbstractLeastSquaresOptimizer:190, AbstractLeastSquaresOptimizer:193, AbstractLeastSquaresOptimizer:208, AbstractLeastSquaresOptimizer:213, AbstractLeastSquaresOptimizer:219, AbstractLeastSquaresOptimizer:251, AbstractLeastSquaresOptimizer:274, AbstractLeastSquaresOptimizer:275, AbstractLeastSquaresOptimizer:277, AbstractLeastSquaresOptimizer:307, AbstractLeastSquaresOptimizer:315, AbstractLeastSquaresOptimizer:327, 
RegressionTest0::test001, 0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
RegressionTest0::test002, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
RegressionTest0::test007, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test010, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test011, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test012, 0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test013, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test014, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test015, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test016, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test017, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test018, 0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
RegressionTest0::test019, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test020, 0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test021, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test022, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test023, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test024, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test025, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test026, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test027, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test028, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test029, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test030, 0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
RegressionTest0::test031, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test032, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test033, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test034, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test035, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test036, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test037, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test038, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test039, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test040, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test041, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test042, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test043, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test044, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test045, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test046, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test047, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test048, 0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test049, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test050, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test051, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test052, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test053, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test054, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test055, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test056, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test057, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test058, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test059, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test060, 0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test061, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test062, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test063, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test064, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test065, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test066, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test067, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test068, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test069, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test070, 0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test071, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test072, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test073, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test074, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test075, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test076, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test077, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test078, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test079, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test080, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test081, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,
RegressionTest0::test082, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test083, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test084, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test085, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test086, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test087, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test088, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test089, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test090, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test091, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test092, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test093, 0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test094, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test095, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test096, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test097, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test098, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test099, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test100, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test101, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test102, 0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test103, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test104, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test105, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LevenbergMarquardtOptimizerTest::testTrivial, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0.5,0,0.5,
LevenbergMarquardtOptimizerTest::testQRColumnsPermutation, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testNoDependency, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testOneSet, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testTwoSets, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testNonInversible, 0.5,0.5,1,1,0.5,0.5,1,1,1,1,1,0,0,0.5,
LevenbergMarquardtOptimizerTest::testIllConditioned, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersSimple, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersUnsorted, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testRedundantEquations, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testInconsistentEquations, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testInconsistentSizes, 0.5,0.5,1,1,0.5,1,1,1,0,0,0,0,0,1,
LevenbergMarquardtOptimizerTest::testControlParameters, 0.5,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testCircleFitting, 0.5,0.5,1,1,0.5,0.5,1,1,1,1,1,0.5,1,0.5,
LevenbergMarquardtOptimizerTest::testCircleFittingBadInit, 0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0.5,
LevenbergMarquardtOptimizerTest::testMath199, 0.5,0.5,1,1,0.5,0.5,1,0,0,0,0,0,0,0.5,
AbstractLeastSquaresOptimizer_ESTest::test00, 0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test01, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test02, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test03, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test04, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test05, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test06, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test07, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test08, 0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0.5,
AbstractLeastSquaresOptimizer_ESTest::test09, 0.5,0.5,1,1,0.5,0.5,1,0,0,0,0,0,0,0.5,
AbstractLeastSquaresOptimizer_ESTest::test10, 0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
AbstractLeastSquaresOptimizer_ESTest::test11, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
AbstractLeastSquaresOptimizer_ESTest::test12, 0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
AbstractLeastSquaresOptimizer_ESTest::test13, 0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
AbstractLeastSquaresOptimizer_ESTest::test14, 0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
