Class::Test,MultidimensionalCounter:93, MultidimensionalCounter:94, MultidimensionalCounter:106, MultidimensionalCounter:107, MultidimensionalCounter:173, MultidimensionalCounter:175, MultidimensionalCounter:183, MultidimensionalCounter:217, MultidimensionalCounter:225, MultidimensionalCounter:228, MultidimensionalCounter:254, MultidimensionalCounter:258, MultidimensionalCounter:260, MultidimensionalCounter:292, 
RegressionTest0::test001, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test002, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test005, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test006, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0,
RegressionTest0::test007, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0,
RegressionTest0::test008, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test009, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test010, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test011, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test012, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0,
RegressionTest0::test013, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test014, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test015, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test016, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test017, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test018, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test019, 0,0,0,0,1,1,1,0.5,1,1,0,0,0,0,
RegressionTest0::test020, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test021, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test022, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test023, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test024, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test025, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test026, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test027, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test028, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,
RegressionTest0::test029, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test030, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
