Class::Test,PolygonsSet:134, PolygonsSet:136, PolygonsSet:144, PolygonsSet:155, PolygonsSet:158, PolygonsSet:170, PolygonsSet:207, PolygonsSet:208, PolygonsSet:220, PolygonsSet:223, PolygonsSet:232, PolygonsSet:233, PolygonsSet:241, PolygonsSet:245, PolygonsSet:247, PolygonsSet:255, PolygonsSet:260, PolygonsSet:272, PolygonsSet:304, PolygonsSet:306, PolygonsSet:315, PolygonsSet:319, PolygonsSet:326, PolygonsSet:339, PolygonsSet:344, PolygonsSet:365, PolygonsSet:392, PolygonsSet:394, PolygonsSet:395, PolygonsSet:430, PolygonsSet:433, PolygonsSet:452, PolygonsSet:453, PolygonsSet:455, PolygonsSet:457, 
PolyhedronsSetTest::testBox, 0.5,0,0.5,1,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,0,0,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0.5,
PolyhedronsSetTest::testTetrahedron, 0.5,0,0.5,1,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,0,0,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0.5,
PolyhedronsSetTest::testIsometry, 0.5,0,0.5,1,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0,0,0,0,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0.5,
PolyhedronsSetTest::testBuildBox, 0.5,0,0.5,1,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,0,0,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0.5,
PolyhedronsSetTest::testCross, 0.5,0,0.5,1,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,0,0,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0,0,0,1,1,1,0.5,0.5,1,
PolyhedronsSetTest::testIssue780, 1,0.5,0.5,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,1,0.5,0.5,1,1,1,0.5,0.5,0.5,0,0,0,1,0.5,1,0.5,0.5,0.5,
PolygonsSet_ESTest::test00, 0.5,0,0.5,1,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,0,0,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0.5,
PolygonsSet_ESTest::test01, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PolygonsSet_ESTest::test02, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PolygonsSet_ESTest::test03, 0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,1,0.5,1,0.5,0.5,0.5,
