Class::Test,HarmonicFitter:46, HarmonicFitter:47, HarmonicFitter:62, HarmonicFitter:77, HarmonicFitter:195, HarmonicFitter:196, HarmonicFitter:197, HarmonicFitter:198, HarmonicFitter:201, HarmonicFitter:202, HarmonicFitter:215, HarmonicFitter:216, HarmonicFitter:217, HarmonicFitter:218, HarmonicFitter:228, HarmonicFitter:229, HarmonicFitter:230, HarmonicFitter:231, HarmonicFitter:232, HarmonicFitter:234, HarmonicFitter:235, HarmonicFitter:236, HarmonicFitter:237, HarmonicFitter:238, HarmonicFitter:239, HarmonicFitter:242, HarmonicFitter:243, HarmonicFitter:246, HarmonicFitter:259, HarmonicFitter:260, HarmonicFitter:261, HarmonicFitter:262, HarmonicFitter:263, HarmonicFitter:265, HarmonicFitter:266, HarmonicFitter:267, HarmonicFitter:268, HarmonicFitter:269, HarmonicFitter:270, HarmonicFitter:272, HarmonicFitter:273, HarmonicFitter:274, HarmonicFitter:275, HarmonicFitter:279, HarmonicFitter:280, HarmonicFitter:281, HarmonicFitter:283, HarmonicFitter:285, HarmonicFitter:286, HarmonicFitter:287, HarmonicFitter:289, HarmonicFitter:290, HarmonicFitter:291, HarmonicFitter:292, HarmonicFitter:293, HarmonicFitter:297, HarmonicFitter:298, HarmonicFitter:299, HarmonicFitter:300, HarmonicFitter:301, HarmonicFitter:304, HarmonicFitter:305, HarmonicFitter:306, HarmonicFitter:308, HarmonicFitter:310, HarmonicFitter:311, HarmonicFitter:312, HarmonicFitter:313, HarmonicFitter:314, HarmonicFitter:315, HarmonicFitter:317, HarmonicFitter:318, HarmonicFitter:321, HarmonicFitter:322, HarmonicFitter:323, HarmonicFitter:326, HarmonicFitter:329, HarmonicFitter:330, HarmonicFitter:332, HarmonicFitter:339, HarmonicFitter:340, HarmonicFitter:342, HarmonicFitter:343, HarmonicFitter:344, HarmonicFitter:346, HarmonicFitter:347, HarmonicFitter:348, HarmonicFitter:349, HarmonicFitter:350, HarmonicFitter:352, HarmonicFitter:353, HarmonicFitter:354, HarmonicFitter:355, HarmonicFitter:356, HarmonicFitter:359, HarmonicFitter:360, 
HarmonicFitterTest::testPreconditions1, 1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HarmonicFitterTest::testNoError, 1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
HarmonicFitterTest::test1PercentError, 1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
HarmonicFitterTest::testTinyVariationsData, 1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
HarmonicFitterTest::testInitialGuess, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HarmonicFitterTest::testUnsorted, 1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
HarmonicFitterTest::testMath844, 0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HarmonicFitter_ESTest::test0, 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HarmonicFitter_ESTest::test1, 1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HarmonicFitter_ESTest::test2, 0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
