Class::Test,ListPopulation:52, ListPopulation:53, ListPopulation:64, ListPopulation:65, ListPopulation:66, ListPopulation:68, ListPopulation:69, ListPopulation:71, ListPopulation:72, ListPopulation:73, ListPopulation:75, ListPopulation:76, ListPopulation:77, ListPopulation:78, ListPopulation:90, ListPopulation:91, ListPopulation:93, ListPopulation:94, ListPopulation:95, ListPopulation:97, ListPopulation:98, ListPopulation:99, ListPopulation:108, ListPopulation:109, ListPopulation:110, ListPopulation:112, ListPopulation:113, ListPopulation:120, ListPopulation:128, ListPopulation:138, ListPopulation:139, ListPopulation:140, ListPopulation:142, ListPopulation:143, ListPopulation:151, ListPopulation:152, ListPopulation:153, ListPopulation:155, ListPopulation:157, ListPopulation:158, ListPopulation:166, ListPopulation:177, ListPopulation:178, ListPopulation:180, ListPopulation:181, ListPopulation:183, ListPopulation:184, ListPopulation:191, ListPopulation:199, ListPopulation:209, 
ElitisticListPopulationTest::testNextGeneration, 1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
ElitisticListPopulationTest::testSetElitismRate, 1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testSetElitismRateTooLow, 1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testSetElitismRateTooHigh, 1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testConstructorTooLow, 1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testConstructorTooHigh, 1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testChromosomeListConstructorTooLow, 0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ElitisticListPopulationTest::testChromosomeListConstructorTooHigh, 0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test00, 1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
ListPopulation_ESTest::test01, 0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
