Class::Test,MultivariateNormalDistribution:107, MultivariateNormalDistribution:111, MultivariateNormalDistribution:112, MultivariateNormalDistribution:132, MultivariateNormalDistribution:133, MultivariateNormalDistribution:140, MultivariateNormalDistribution:148, MultivariateNormalDistribution:150, MultivariateNormalDistribution:179, MultivariateNormalDistribution:198, MultivariateNormalDistribution:209, MultivariateNormalDistribution:215, MultivariateNormalDistribution:230, MultivariateNormalDistribution:235, 
NormalDistributionTest::testGetMean, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NormalDistributionTest::testGetStandardDeviation, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NormalDistributionTest::testPreconditions, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NormalDistributionTest::testDensity, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NormalDistributionTest::testExtremeValues, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NormalDistributionTest::testMath280, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NormalDistributionTest::testMoments, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MultivariateNormalDistribution_ESTest::test0, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,
MultivariateNormalDistribution_ESTest::test1, 0.5,1,0.5,1,0.5,1,1,1,0.5,0,0,0,1,1,
MultivariateNormalDistribution_ESTest::test2, 0.5,1,0.5,1,0.5,1,1,1,0,0,0,0,0,0,
MultivariateNormalDistribution_ESTest::test3, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
MultivariateNormalDistribution_ESTest::test4, 0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,
MultivariateNormalDistribution_ESTest::test5, 0.5,1,0.5,1,0.5,1,1,1,0.5,0,0,0,0,0,
MultivariateNormalDistribution_ESTest::test6, 0.5,1,0.5,1,0.5,1,1,1,0,1,0,0,0,0,
RegressionTest0::test01, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test02, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test03, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test04, 0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test05, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test06, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test07, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test08, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test09, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test10, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test11, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test12, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test13, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test14, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test15, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test16, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
MultivariateNormalDistributionTest::testGetMean, 0.5,1,0.5,1,0.5,1,1,1,0,0,0,0,0,0,
MultivariateNormalDistributionTest::testGetCovarianceMatrix, 0.5,1,0.5,1,0.5,1,1,1,0,0,0,0,0,0,
MultivariateNormalDistributionTest::testSampling, 0.5,1,0.5,1,0.5,1,1,1,0,0,1,1,0,0,
MultivariateNormalDistributionTest::testDensities, 0.5,1,0.5,1,0.5,1,1,1,0.5,0,0,0,1,1,
MultivariateNormalDistributionTest::testUnivariateDistribution, 0.5,1,0.5,1,0.5,1,1,1,0.5,0,0,0,1,1,
