Class::Test,SimplexTableau:84, SimplexTableau:117, SimplexTableau:118, SimplexTableau:134, SimplexTableau:135, SimplexTableau:136, SimplexTableau:137, SimplexTableau:138, SimplexTableau:139, SimplexTableau:140, SimplexTableau:142, SimplexTableau:143, SimplexTableau:144, SimplexTableau:145, SimplexTableau:146, SimplexTableau:147, SimplexTableau:148, SimplexTableau:154, SimplexTableau:155, SimplexTableau:157, SimplexTableau:158, SimplexTableau:159, SimplexTableau:161, SimplexTableau:162, SimplexTableau:164, SimplexTableau:165, SimplexTableau:167, SimplexTableau:168, SimplexTableau:170, SimplexTableau:171, SimplexTableau:181, SimplexTableau:182, SimplexTableau:183, SimplexTableau:184, SimplexTableau:187, SimplexTableau:188, SimplexTableau:190, SimplexTableau:191, SimplexTableau:192, SimplexTableau:193, SimplexTableau:194, SimplexTableau:195, SimplexTableau:196, SimplexTableau:198, SimplexTableau:199, SimplexTableau:200, SimplexTableau:204, SimplexTableau:205, SimplexTableau:206, SimplexTableau:207, SimplexTableau:208, SimplexTableau:211, SimplexTableau:214, SimplexTableau:215, SimplexTableau:216, SimplexTableau:220, SimplexTableau:223, SimplexTableau:224, SimplexTableau:225, SimplexTableau:226, SimplexTableau:230, SimplexTableau:231, SimplexTableau:232, SimplexTableau:233, SimplexTableau:234, SimplexTableau:238, SimplexTableau:247, SimplexTableau:248, SimplexTableau:249, SimplexTableau:250, SimplexTableau:251, SimplexTableau:260, SimplexTableau:261, SimplexTableau:262, SimplexTableau:263, SimplexTableau:265, SimplexTableau:266, SimplexTableau:274, SimplexTableau:283, SimplexTableau:284, SimplexTableau:285, SimplexTableau:286, SimplexTableau:288, SimplexTableau:289, SimplexTableau:298, SimplexTableau:299, SimplexTableau:300, SimplexTableau:302, SimplexTableau:311, SimplexTableau:312, SimplexTableau:313, SimplexTableau:314, SimplexTableau:315, SimplexTableau:316, SimplexTableau:317, SimplexTableau:320, SimplexTableau:328, SimplexTableau:329, SimplexTableau:332, SimplexTableau:333, SimplexTableau:336, SimplexTableau:337, SimplexTableau:338, SimplexTableau:339, SimplexTableau:344, SimplexTableau:345, SimplexTableau:346, SimplexTableau:347, SimplexTableau:351, SimplexTableau:352, SimplexTableau:353, SimplexTableau:354, SimplexTableau:355, SimplexTableau:356, SimplexTableau:361, SimplexTableau:362, SimplexTableau:365, SimplexTableau:366, SimplexTableau:367, SimplexTableau:374, SimplexTableau:375, SimplexTableau:382, SimplexTableau:383, SimplexTableau:384, SimplexTableau:385, SimplexTableau:388, SimplexTableau:397, SimplexTableau:398, SimplexTableau:399, SimplexTableau:401, SimplexTableau:402, SimplexTableau:403, SimplexTableau:404, SimplexTableau:405, SimplexTableau:406, SimplexTableau:407, SimplexTableau:409, SimplexTableau:410, SimplexTableau:414, SimplexTableau:415, SimplexTableau:418, SimplexTableau:420, SimplexTableau:421, SimplexTableau:422, SimplexTableau:426, SimplexTableau:439, SimplexTableau:440, SimplexTableau:442, SimplexTableau:456, SimplexTableau:457, SimplexTableau:458, SimplexTableau:465, SimplexTableau:473, SimplexTableau:482, SimplexTableau:492, SimplexTableau:493, SimplexTableau:500, SimplexTableau:508, SimplexTableau:516, SimplexTableau:530, SimplexTableau:539, SimplexTableau:547, SimplexTableau:555, SimplexTableau:563, SimplexTableau:570, SimplexTableau:571, SimplexTableau:574, SimplexTableau:575, SimplexTableau:576, SimplexTableau:582, SimplexTableau:583, SimplexTableau:584, SimplexTableau:586, SimplexTableau:592, SimplexTableau:596, SimplexTableau:598, SimplexTableau:599, SimplexTableau:600, SimplexTableau:609, SimplexTableau:610, SimplexTableau:611, SimplexTableau:620, SimplexTableau:621, SimplexTableau:622, 
SimplexTableauTest::testInitialization, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableauTest::testDropPhase1Objective, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableauTest::testTableauWithNoArtificialVars, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableauTest::testSerial, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,
SimplexSolverTest::testMath781, 1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexSolverTest::testMath713NegativeVariable, 1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexSolverTest::testMath434NegativeVariable, 1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexSolverTest::testMath434UnfeasibleSolution, 1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexSolverTest::testMath434PivotRowSelection, 1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexSolverTest::testMath434PivotRowSelection2, 1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
