Class::Test,AbstractLeastSquaresOptimizer:116, AbstractLeastSquaresOptimizer:117, AbstractLeastSquaresOptimizer:118, AbstractLeastSquaresOptimizer:119, AbstractLeastSquaresOptimizer:120, AbstractLeastSquaresOptimizer:124, AbstractLeastSquaresOptimizer:125, AbstractLeastSquaresOptimizer:129, AbstractLeastSquaresOptimizer:134, AbstractLeastSquaresOptimizer:139, AbstractLeastSquaresOptimizer:140, AbstractLeastSquaresOptimizer:144, AbstractLeastSquaresOptimizer:149, AbstractLeastSquaresOptimizer:154, AbstractLeastSquaresOptimizer:159, AbstractLeastSquaresOptimizer:160, AbstractLeastSquaresOptimizer:164, AbstractLeastSquaresOptimizer:173, AbstractLeastSquaresOptimizer:174, AbstractLeastSquaresOptimizer:176, AbstractLeastSquaresOptimizer:184, AbstractLeastSquaresOptimizer:185, AbstractLeastSquaresOptimizer:186, AbstractLeastSquaresOptimizer:187, AbstractLeastSquaresOptimizer:188, AbstractLeastSquaresOptimizer:190, AbstractLeastSquaresOptimizer:191, AbstractLeastSquaresOptimizer:192, AbstractLeastSquaresOptimizer:193, AbstractLeastSquaresOptimizer:194, AbstractLeastSquaresOptimizer:197, AbstractLeastSquaresOptimizer:208, AbstractLeastSquaresOptimizer:209, AbstractLeastSquaresOptimizer:212, AbstractLeastSquaresOptimizer:213, AbstractLeastSquaresOptimizer:214, AbstractLeastSquaresOptimizer:215, AbstractLeastSquaresOptimizer:217, AbstractLeastSquaresOptimizer:218, AbstractLeastSquaresOptimizer:219, AbstractLeastSquaresOptimizer:220, AbstractLeastSquaresOptimizer:221, AbstractLeastSquaresOptimizer:222, AbstractLeastSquaresOptimizer:223, AbstractLeastSquaresOptimizer:225, AbstractLeastSquaresOptimizer:227, AbstractLeastSquaresOptimizer:240, AbstractLeastSquaresOptimizer:250, AbstractLeastSquaresOptimizer:251, AbstractLeastSquaresOptimizer:252, AbstractLeastSquaresOptimizer:253, AbstractLeastSquaresOptimizer:255, AbstractLeastSquaresOptimizer:270, AbstractLeastSquaresOptimizer:273, AbstractLeastSquaresOptimizer:274, AbstractLeastSquaresOptimizer:275, AbstractLeastSquaresOptimizer:276, AbstractLeastSquaresOptimizer:277, AbstractLeastSquaresOptimizer:278, AbstractLeastSquaresOptimizer:280, AbstractLeastSquaresOptimizer:281, AbstractLeastSquaresOptimizer:287, AbstractLeastSquaresOptimizer:288, AbstractLeastSquaresOptimizer:289, AbstractLeastSquaresOptimizer:290, AbstractLeastSquaresOptimizer:291, AbstractLeastSquaresOptimizer:307, AbstractLeastSquaresOptimizer:308, AbstractLeastSquaresOptimizer:310, AbstractLeastSquaresOptimizer:312, AbstractLeastSquaresOptimizer:313, AbstractLeastSquaresOptimizer:314, AbstractLeastSquaresOptimizer:315, AbstractLeastSquaresOptimizer:316, AbstractLeastSquaresOptimizer:318, AbstractLeastSquaresOptimizer:327, AbstractLeastSquaresOptimizer:328, AbstractLeastSquaresOptimizer:329, AbstractLeastSquaresOptimizer:333, AbstractLeastSquaresOptimizer:334, AbstractLeastSquaresOptimizer:335, AbstractLeastSquaresOptimizer:338, AbstractLeastSquaresOptimizer:339, AbstractLeastSquaresOptimizer:340, AbstractLeastSquaresOptimizer:341, AbstractLeastSquaresOptimizer:342, AbstractLeastSquaresOptimizer:343, AbstractLeastSquaresOptimizer:346, AbstractLeastSquaresOptimizer:347, AbstractLeastSquaresOptimizer:348, AbstractLeastSquaresOptimizer:350, AbstractLeastSquaresOptimizer:352, 
RegressionTest0::test001, 1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test007, 1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test010, 1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
