Class::Test,SimplexTableau:140, SimplexTableau:146, SimplexTableau:154, SimplexTableau:158, SimplexTableau:161, SimplexTableau:164, SimplexTableau:167, SimplexTableau:187, SimplexTableau:190, SimplexTableau:191, SimplexTableau:192, SimplexTableau:195, SimplexTableau:198, SimplexTableau:206, SimplexTableau:214, SimplexTableau:223, SimplexTableau:225, SimplexTableau:230, SimplexTableau:231, SimplexTableau:248, SimplexTableau:260, SimplexTableau:274, SimplexTableau:284, SimplexTableau:285, SimplexTableau:299, SimplexTableau:312, SimplexTableau:314, SimplexTableau:316, SimplexTableau:328, SimplexTableau:336, SimplexTableau:338, SimplexTableau:344, SimplexTableau:346, SimplexTableau:352, SimplexTableau:354, SimplexTableau:355, SimplexTableau:361, SimplexTableau:382, SimplexTableau:384, SimplexTableau:398, SimplexTableau:399, SimplexTableau:403, SimplexTableau:405, SimplexTableau:410, SimplexTableau:415, SimplexTableau:418, SimplexTableau:421, SimplexTableau:422, SimplexTableau:439, SimplexTableau:570, SimplexTableau:574, SimplexTableau:576, SimplexTableau:582, SimplexTableau:583, SimplexTableau:584, 
SimplexTableauTest::testInitialization, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableauTest::testDropPhase1Objective, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,1,1,1,1,0.5,0.5,0.5,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableauTest::testTableauWithNoArtificialVars, 0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,1,0.5,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableauTest::testSerial, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,
SimplexSolverTest::testMath781, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,1,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMath713NegativeVariable, 0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,1,1,1,0,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMath434NegativeVariable, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMath434UnfeasibleSolution, 0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
SimplexSolverTest::testMath434PivotRowSelection, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMath434PivotRowSelection2, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,1,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMath272, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,0,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMath286, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testDegeneracy, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,1,1,0.5,1,1,1,0,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMath288, 0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,1,0.5,0.5,1,1,0,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMath290GEQ, 0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,1,0.5,0.5,1,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,
SimplexSolverTest::testMath290LEQ, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexSolverTest::testMath293, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,0.5,1,0.5,1,0.5,1,0,0,0,0,0,0,
