Key,Value,Count
Access modifier,public,95
Access modifier,private,28
Access modifier,protected,15
Is static,False,137
Is static,True,1
Is void,Non-void,105
Is void,Void,26
Is void,Constructor,7
Mutator,MathMutator,51
Mutator,NegateConditionalsMutator,50
Mutator,ConditionalsBoundaryMutator,11
Mutator,NullReturnValsMutator,8
Mutator,PrimitiveReturnsMutator,6
Mutator,VoidMethodCallMutator,6
Mutator,BooleanFalseReturnValsMutator,4
Mutator,EmptyObjectReturnValsMutator,2
Nesting level,0,69
Nesting level,1,35
Nesting level,2,16
Nesting level,3,13
Nesting level,4,4
Nesting level,5,1
Type of node,BinaryOperation,61
Type of node,IfStatement,34
Type of node,ReturnStatement,20
Type of node,ForStatement,14
Type of node,MethodInvocation,6
Type of node,TernaryExpression,3
