Threshold Level,Avg All MS,Avg Stubborn MS,A12 Stubborn MS,Perfect MS,Avg Recall,A12 Recall,Perfect Recall,Avg Total Size,Avg Size of Stubborn Tests
Hard0.05,0.86,0.83,0.6,0.9,0.72,0.7,0.7,1798,42
Hard0.025,0.86,0.79,0.5,0.8,0.65,0.6,0.6,1798,38
Stb0.75,0.86,0.83,0.6,0.9,0.82,0.8,0.8,1798,51
Random0.75,0.86,0.67,0.4,0.1,0.31,0.45,0.0,1798,51
Stb0.5,0.86,0.83,0.6,0.9,0.82,0.8,0.8,1798,49
Random0.5,0.86,0.67,0.6,0.0,0.27,0.5,0.0,1798,49
Stb0.25,0.86,0.83,0.6,0.9,0.72,0.7,0.7,1798,47
Random0.25,0.86,0.56,0.55,0.0,0.15,0.5,0.0,1798,47
Stb0.1,0.86,0.83,0.6,0.9,0.72,0.7,0.7,1798,43
Random0.1,0.86,0.54,0.6,0.0,0.11,0.3,0.0,1798,43
Stb0.05,0.86,0.79,0.6,0.8,0.6,0.5,0.5,1798,40
Random0.05,0.86,0.49,0.5,0.0,0.06,0.45,0.0,1798,40
Stb0.01,0.86,0.6,0.6,0.3,0.27,0.3,0.2,1798,26
Random0.01,0.86,0.33,0.5,0.0,0.03,0.25,0.0,1798,26
Stb0.005,0.86,0.5,0.65,0.0,0.22,0.2,0.2,1798,21
Random0.005,0.86,0.28,0.5,0.0,0.02,0.4,0.0,1798,21
Stb0.003,0.86,0.44,0.7,0.0,0.2,0.2,0.2,1798,17
Random0.003,0.86,0.24,0.45,0.0,0.01,0.3,0.0,1798,17
Stb0.002,0.86,0.35,0.5,0.0,0.2,0.2,0.2,1798,14
Random0.002,0.86,0.19,0.5,0.0,0.0,0.55,0.0,1798,14
Stb0.001,0.86,0.2,0.3,0.0,0.1,0.1,0.1,1798,8
Random0.001,0.86,0.1,0.4,0.0,0.0,0.55,0.0,1798,8
