Key,Value,Count
Access modifier,private,7
Access modifier,protected,5
Access modifier,public,3
Is static,False,14
Is static,True,1
Is void,Void,8
Is void,Non-void,7
Mutator,NegateConditionalsMutator,11
Mutator,VoidMethodCallMutator,2
Mutator,MathMutator,1
Mutator,NullReturnValsMutator,1
Nesting level,2,6
Nesting level,0,5
Nesting level,3,2
Nesting level,1,2
Type of node,IfStatement,10
Type of node,MethodInvocation,2
Type of node,BinaryOperation,1
Type of node,TernaryExpression,1
Type of node,ReturnStatement,1
