Threshold Level,Avg All MS,Avg Stubborn MS,A12 Stubborn MS,Perfect MS,Avg Recall,A12 Recall,Perfect Recall,Avg Total Size,Avg Size of Stubborn Tests
Hard0.05,0.82,0.79,0.58,0.74,0.74,0.68,0.65,625,94
Hard0.025,0.82,0.7,0.52,0.42,0.61,0.55,0.52,625,71
Stb0.75,0.82,0.82,0.65,0.94,0.84,0.74,0.74,625,157
Random0.75,0.82,0.73,0.53,0.1,0.43,0.58,0.0,625,157
Stb0.5,0.82,0.79,0.61,0.9,0.81,0.71,0.71,625,151
Random0.5,0.82,0.66,0.58,0.06,0.38,0.58,0.0,625,151
Stb0.25,0.82,0.78,0.61,0.84,0.77,0.68,0.68,625,125
Random0.25,0.82,0.64,0.58,0.06,0.32,0.48,0.0,625,125
Stb0.1,0.82,0.73,0.55,0.61,0.69,0.65,0.61,625,90
Random0.1,0.82,0.57,0.56,0.0,0.2,0.45,0.0,625,90
Stb0.05,0.82,0.64,0.6,0.35,0.54,0.48,0.48,625,69
Random0.05,0.82,0.44,0.55,0.0,0.11,0.35,0.0,625,69
Stb0.01,0.82,0.35,0.45,0.13,0.32,0.35,0.26,625,24
Random0.01,0.82,0.19,0.32,0.0,0.03,0.26,0.0,625,24
Stb0.005,0.82,0.24,0.32,0.06,0.11,0.13,0.1,625,14
Random0.005,0.82,0.12,0.26,0.0,0.01,0.18,0.0,625,14
Stb0.003,0.82,0.19,0.26,0.03,0.1,0.13,0.1,625,10
Random0.003,0.82,0.1,0.24,0.0,0.0,0.6,0.0,625,10
Stb0.002,0.82,0.12,0.19,0.0,0.06,0.06,0.06,625,5
Random0.002,0.82,0.06,0.19,0.0,0.0,0.55,0.0,625,5
Stb0.001,0.82,0.03,0.03,0.0,0.0,0.5,0.0,625,1
Random0.001,0.82,0.01,0.03,0.0,0.0,0.5,0.0,625,1
