Class::Test , 114::NullReturnValsMutator::69 , 125::NullReturnValsMutator::7 , 170::ConditionalsBoundaryMutator::214 , 156::MathMutator::113 , 157::MathMutator::123 , 163::MathMutator::167 , 163::MathMutator::170 , 163::MathMutator::171 , 164::MathMutator::177 , 165::MathMutator::185 , 165::MathMutator::186 , 165::MathMutator::187 , 166::MathMutator::195 , 166::MathMutator::196 , 166::MathMutator::197 , 175::MathMutator::232 , 176::MathMutator::242 , 176::MathMutator::243 , 176::MathMutator::247 , 176::MathMutator::248 , 134::NegateConditionalsMutator::10 , 136::NegateConditionalsMutator::21 , 136::NegateConditionalsMutator::26 , 144::NegateConditionalsMutator::64 , 170::NegateConditionalsMutator::214 , 138::VoidMethodCallMutator::31 , 139::VoidMethodCallMutator::36 , 141::VoidMethodCallMutator::43 , 142::VoidMethodCallMutator::52 , 146::VoidMethodCallMutator::69 , 147::VoidMethodCallMutator::74 , 172::VoidMethodCallMutator::219 , 173::VoidMethodCallMutator::224 , 175::VoidMethodCallMutator::233 , 176::VoidMethodCallMutator::250 , 306::ConditionalsBoundaryMutator::58 , 315::ConditionalsBoundaryMutator::106 , 319::ConditionalsBoundaryMutator::125 , 326::ConditionalsBoundaryMutator::151 , 304::NegateConditionalsMutator::37 , 306::NegateConditionalsMutator::50 , 306::NegateConditionalsMutator::52 , 306::NegateConditionalsMutator::58 , 315::NegateConditionalsMutator::100 , 315::NegateConditionalsMutator::106 , 319::NegateConditionalsMutator::125 , 326::NegateConditionalsMutator::151 , 339::NegateConditionalsMutator::181 , 339::NegateConditionalsMutator::183 , 344::NegateConditionalsMutator::192 , 344::NegateConditionalsMutator::194 , 301::VoidMethodCallMutator::32 , 335::VoidMethodCallMutator::171 , 330::EmptyObjectReturnValsMutator::155 , 341::EmptyObjectReturnValsMutator::187 , 348::EmptyObjectReturnValsMutator::205 , 233::ConditionalsBoundaryMutator::108 , 255::ConditionalsBoundaryMutator::241 , 236::IncrementsMutator::122 , 251::IncrementsMutator::217 , 252::IncrementsMutator::224 , 257::IncrementsMutator::246 , 264::IncrementsMutator::283 , 268::IncrementsMutator::302 , 273::IncrementsMutator::337 , 275::IncrementsMutator::350 , 243::MathMutator::168 , 250::MathMutator::208 , 250::MathMutator::211 , 255::MathMutator::240 , 260::MathMutator::257 , 263::MathMutator::274 , 263::MathMutator::277 , 207::NegateConditionalsMutator::5 , 208::NegateConditionalsMutator::12 , 220::NegateConditionalsMutator::50 , 223::NegateConditionalsMutator::66 , 233::NegateConditionalsMutator::108 , 241::NegateConditionalsMutator::162 , 247::NegateConditionalsMutator::192 , 255::NegateConditionalsMutator::241 , 260::NegateConditionalsMutator::258 , 214::VoidMethodCallMutator::33 , 282::NullReturnValsMutator::364 
PolygonsSetTest::testBug20040520 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testBug20041003 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 
PolygonsSetTest::testConcentric , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
PolygonsSetTest::testDifference , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testDisjointPolygons , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testEmptyDifference , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
PolygonsSetTest::testHole , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testIntersection , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testOppositeHyperplanes , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testSimplyConnected , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
