: , RegressionTest0::test01 , RegressionTest0::test02 , RegressionTest0::test03 , RegressionTest0::test04 , RegressionTest0::test05 , RegressionTest0::test06 , RegressionTest0::test07 , RegressionTest0::test08 , RegressionTest0::test09 , RegressionTest0::test10 , RegressionTest0::test11 , RegressionTest0::test12 , RegressionTest0::test13 , RegressionTest0::test14 , RegressionTest0::test15 , RegressionTest0::test16 , RegressionTest0::test17 , RegressionTest0::test18 , RegressionTest0::test19 , RegressionTest0::test20 , RegressionTest0::test21 , RegressionTest0::test22 , RegressionTest0::test23 , RegressionTest0::test24 , RegressionTest0::test25 , RegressionTest0::test26 , RegressionTest0::test27 , RegressionTest0::test28 , RegressionTest0::test29 , RegressionTest0::test30 , RegressionTest0::test31 , KMeansPlusPlusClustererTest::dimension2 , KMeansPlusPlusClustererTest::testPerformClusterAnalysisDegenerate , KMeansPlusPlusClustererTest::testCertainSpace , KMeansPlusPlusClustererTest::testSmallDistances , KMeansPlusPlusClusterer_ESTest::test0 , KMeansPlusPlusClusterer_ESTest::test1 , KMeansPlusPlusClusterer_ESTest::test2 , KMeansPlusPlusClusterer_ESTest::test3 , KMeansPlusPlusClusterer_ESTest::test4 , KMeansPlusPlusClusterer_ESTest::test6 , 
RegressionTest0::test01 , 0 , 4735 , 1658 , 1687 , 2051 , 8437 , 6338 , 2145 , 4382 , 8076 , 1034 , 848 , 5111 , 8441 , 2059 , 634 , 6769 , 9579 , 9378 , 3937 , 12278 , 9367 , 861 , 9954 , 1007 , 4166 , 7071 , 5432 , 1213 , 1177 , 10176 , 1938 , 2078 , 1873 , 2026 , 2114 , 2005 , 2015 , 1974 , 1987 , 1911 , 
RegressionTest0::test02 , 4735 , 0 , 4568 , 3179 , 2918 , 4007 , 2378 , 2747 , 4015 , 3647 , 5686 , 5363 , 628 , 4017 , 6561 , 4218 , 2696 , 5386 , 5005 , 4040 , 7852 , 5003 , 5365 , 5615 , 4427 , 4228 , 3101 , 1515 , 5637 , 5631 , 5736 , 5618 , 6436 , 5969 , 6223 , 6548 , 6350 , 6347 , 6255 , 6323 , 6111 , 
RegressionTest0::test03 , 1658 , 4568 , 0 , 1891 , 2141 , 7972 , 5920 , 2266 , 3294 , 7632 , 1983 , 1746 , 4777 , 7988 , 2937 , 1630 , 6420 , 9067 , 8860 , 2491 , 11718 , 8864 , 1740 , 9440 , 1901 , 2914 , 6649 , 5086 , 2179 , 2190 , 9640 , 2714 , 2992 , 2722 , 2879 , 3042 , 2916 , 2913 , 2849 , 2903 , 2818 , 
RegressionTest0::test04 , 1687 , 3179 , 1891 , 0 , 469 , 6853 , 4726 , 519 , 3620 , 6444 , 2681 , 2421 , 3499 , 6828 , 3679 , 1216 , 5169 , 7998 , 7766 , 3200 , 10635 , 7794 , 2420 , 8370 , 1748 , 3534 , 5507 , 3827 , 2756 , 2744 , 8589 , 3071 , 3614 , 3238 , 3481 , 3702 , 3543 , 3543 , 3469 , 3520 , 3357 , 
RegressionTest0::test05 , 2051 , 2918 , 2141 , 469 , 0 , 6454 , 4357 , 523 , 3552 , 6215 , 3044 , 2653 , 3223 , 6479 , 4010 , 1588 , 4915 , 7671 , 7529 , 3188 , 10399 , 7535 , 2654 , 7969 , 2078 , 3469 , 5254 , 3639 , 2984 , 3001 , 8265 , 3362 , 3935 , 3533 , 3800 , 4034 , 3871 , 3866 , 3784 , 3846 , 3671 , 
RegressionTest0::test06 , 8437 , 4007 , 7972 , 6853 , 6454 , 0 , 2765 , 6404 , 6114 , 578 , 9431 , 9058 , 3493 , 75 , 10432 , 7857 , 3333 , 4072 , 3700 , 6705 , 4536 , 3692 , 9068 , 3695 , 8304 , 6809 , 2349 , 3601 , 9371 , 9381 , 3573 , 9366 , 10268 , 9657 , 10014 , 10419 , 10193 , 10194 , 10098 , 10166 , 9933 , 
RegressionTest0::test07 , 6338 , 2378 , 5920 , 4726 , 4357 , 2765 , 0 , 4307 , 4304 , 2672 , 7327 , 6981 , 1882 , 2698 , 8335 , 5749 , 2521 , 4783 , 3324 , 4822 , 6571 , 3358 , 6987 , 4988 , 6220 , 4989 , 1083 , 1068 , 7286 , 7275 , 4787 , 7350 , 8192 , 7612 , 7948 , 8325 , 8106 , 8109 , 8014 , 8085 , 7867 , 
RegressionTest0::test08 , 2145 , 2747 , 2266 , 519 , 523 , 6404 , 4307 , 0 , 3441 , 5970 , 3137 , 2874 , 3081 , 6375 , 4134 , 1619 , 4736 , 7558 , 7333 , 3073 , 10219 , 7364 , 2873 , 7928 , 2085 , 3434 , 5074 , 3448 , 3183 , 3171 , 8122 , 3462 , 4052 , 3657 , 3906 , 4145 , 3979 , 3974 , 3898 , 3959 , 3786 , 
RegressionTest0::test09 , 4382 , 4015 , 3294 , 3620 , 3552 , 6114 , 4304 , 3441 , 0 , 5850 , 5239 , 4964 , 3807 , 6140 , 6210 , 4078 , 4875 , 7188 , 6827 , 836 , 9556 , 6838 , 4963 , 7515 , 4390 , 1106 , 4935 , 3870 , 5257 , 5269 , 7650 , 5562 , 6165 , 5735 , 5965 , 6248 , 6083 , 6079 , 6004 , 6058 , 5898 , 
RegressionTest0::test10 , 8076 , 3647 , 7632 , 6444 , 6215 , 578 , 2672 , 5970 , 5850 , 0 , 9060 , 8767 , 3130 , 545 , 10080 , 7483 , 2917 , 3707 , 3293 , 6417 , 4645 , 3323 , 8776 , 3487 , 7958 , 6581 , 2106 , 3200 , 9054 , 9037 , 3424 , 9021 , 9930 , 9321 , 9669 , 10070 , 9843 , 9842 , 9750 , 9815 , 9587 , 
