:,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,SimplexSolverTest::testDegeneracy,SimplexSolverTest::testEpsilon,SimplexSolverTest::testInfeasibleSolution,SimplexSolverTest::testLargeModel,SimplexSolverTest::testMath272,SimplexSolverTest::testMath286,SimplexSolverTest::testMath288,SimplexSolverTest::testMath290GEQ,SimplexSolverTest::testMath290LEQ,SimplexSolverTest::testMath293,SimplexSolverTest::testMath434NegativeVariable,SimplexSolverTest::testMath434PivotRowSelection,SimplexSolverTest::testMath434PivotRowSelection2,SimplexSolverTest::testMath434UnfeasibleSolution,SimplexSolverTest::testMath713NegativeVariable,SimplexSolverTest::testMath781,SimplexSolverTest::testMath828,SimplexSolverTest::testMath828Cycle,SimplexSolverTest::testMinimization,SimplexSolverTest::testModelWithNoArtificialVars,SimplexSolverTest::testRestrictVariablesToNonNegative,SimplexSolverTest::testSimplexSolver,SimplexSolverTest::testSingleVariableAndConstraint,SimplexSolverTest::testSolutionWithNegativeDecisionVariable,SimplexSolverTest::testTrivialModel,SimplexSolverTest::testUnboundedSolution,SimplexSolver_ESTest::test0,SimplexSolver_ESTest::test1,
RegressionTest0::test01 ,0,6,8,7,4,1,7,7,9,0,10,7,10,10,10,10,5,6,9,6,6,4,0,6,6,10,8,7,7,8,8,0,10,6,43,65,22,1253,70,194,115,26,21,363,51,24,349,33,31,68,525,1023,49,49,125,48,17,37,24,22,14,13,
RegressionTest0::test02 ,6,0,4,6,7,6,10,5,15,6,8,6,7,7,8,8,11,8,7,4,5,2,6,4,4,7,12,10,2,10,4,6,8,6,45,68,24,1253,73,197,118,28,23,366,53,27,352,34,33,71,528,1026,51,52,129,51,18,39,26,22,13,11,
RegressionTest0::test03 ,8,4,0,7,7,7,10,7,16,8,10,8,10,10,10,10,12,10,9,8,8,4,8,8,8,10,11,10,4,10,3,8,10,8,45,67,24,1254,72,197,117,27,22,366,53,26,352,33,33,70,528,1026,50,51,128,50,18,39,25,22,15,13,
RegressionTest0::test04 ,7,6,7,0,4,7,14,4,16,7,5,1,5,5,5,4,12,9,5,2,2,5,7,2,2,5,15,14,8,14,8,7,5,1,44,67,23,1257,72,199,117,27,22,368,52,26,354,33,32,70,530,1028,50,51,128,50,17,38,25,21,9,7,
RegressionTest0::test05 ,4,7,7,4,0,5,11,6,12,4,8,4,8,8,8,7,9,6,8,4,4,5,4,4,4,8,11,11,8,10,4,4,8,3,42,64,21,1256,69,195,113,25,21,364,50,23,350,32,30,66,526,1024,47,48,124,47,16,36,24,20,10,10,
RegressionTest0::test06 ,1,6,7,7,5,0,8,8,10,1,11,8,11,11,11,11,6,6,10,7,7,5,1,7,7,11,8,8,7,8,8,1,11,7,43,65,22,1253,70,194,115,26,21,363,51,24,349,33,31,68,525,1023,49,49,125,48,18,37,24,22,14,14,
RegressionTest0::test07 ,7,10,10,14,11,8,0,13,6,7,17,14,17,17,17,17,4,11,16,13,13,11,7,13,13,17,8,0,8,8,7,7,17,13,43,64,23,1250,68,192,114,26,22,358,51,24,344,32,30,66,521,1019,48,48,123,47,20,37,24,22,21,20,
RegressionTest0::test08 ,7,5,7,4,6,8,13,0,14,7,7,5,6,5,7,7,10,6,7,3,4,6,7,3,3,5,14,13,6,14,8,7,7,5,45,67,24,1256,71,197,116,27,22,366,53,27,352,33,31,69,528,1026,50,51,127,50,18,39,25,22,12,10,
RegressionTest0::test09 ,9,15,16,16,12,10,6,14,0,9,19,16,19,19,19,19,4,11,18,15,15,13,9,15,15,19,9,6,14,13,13,9,19,15,41,62,23,1251,67,188,111,26,22,354,49,23,340,30,28,63,519,1017,46,47,120,46,20,36,24,21,22,22,
RegressionTest0::test10 ,0,6,8,7,4,1,7,7,9,0,10,7,10,10,10,10,5,6,9,6,6,4,0,6,6,10,8,7,7,8,8,0,10,6,43,65,22,1253,70,194,115,26,21,363,51,24,349,33,31,68,525,1023,49,49,125,48,17,37,24,22,14,13,
RegressionTest0::test11 ,10,8,10,5,8,11,17,7,19,10,0,4,2,2,2,3,15,12,2,5,4,6,10,5,5,2,18,17,10,17,10,10,2,5,47,70,26,1257,75,201,120,29,24,370,55,30,356,36,35,73,532,1030,53,54,131,53,19,42,27,24,9,7,
RegressionTest0::test12 ,7,6,8,1,4,8,14,5,16,7,4,0,4,4,4,3,12,9,4,2,2,4,7,2,2,4,15,14,8,14,7,7,4,1,44,67,23,1257,72,199,117,27,22,368,52,26,354,33,32,70,530,1028,50,51,128,50,17,38,25,21,8,6,
RegressionTest0::test13 ,10,7,10,5,8,11,17,6,19,10,2,4,0,1,2,3,15,11,2,4,5,6,10,4,4,1,18,17,9,17,10,10,2,5,48,71,26,1257,76,202,121,29,24,371,56,30,357,36,35,74,533,1031,54,55,132,54,19,42,27,24,9,7,
RegressionTest0::test14 ,10,7,10,5,8,11,17,5,19,10,2,4,1,0,2,3,15,11,2,4,5,6,10,4,4,0,18,17,9,17,10,10,2,5,48,71,26,1257,76,202,121,29,24,371,56,30,357,36,35,74,533,1031,54,55,132,54,19,42,27,24,9,7,
RegressionTest0::test15 ,10,8,10,5,8,11,17,7,19,10,2,4,2,2,0,2,15,12,1,5,5,6,10,5,5,2,18,17,10,17,10,10,1,5,48,70,26,1257,75,201,120,29,23,370,56,30,356,36,35,73,532,1030,54,55,131,54,19,42,26,23,8,6,
RegressionTest0::test16 ,10,8,10,4,7,11,17,7,19,10,3,3,3,3,2,0,15,12,2,5,5,6,10,5,5,3,18,17,10,17,10,10,2,4,47,70,25,1258,75,202,120,28,23,371,55,29,357,35,34,73,533,1031,53,54,131,53,18,41,26,22,7,5,
RegressionTest0::test17 ,5,11,12,12,9,6,4,10,4,5,15,12,15,15,15,15,0,9,14,11,11,9,5,11,11,15,6,4,10,10,10,5,15,11,42,64,23,1252,68,190,113,25,21,358,50,24,344,31,28,65,521,1019,47,48,122,47,19,37,23,21,19,18,
RegressionTest0::test18 ,6,8,10,9,6,6,11,6,11,6,12,9,11,11,12,12,9,0,12,7,8,10,6,7,7,11,11,11,7,12,10,6,12,8,43,65,22,1253,70,193,114,26,21,361,51,24,347,33,30,66,524,1022,48,49,124,48,17,38,24,22,15,15,
RegressionTest0::test19 ,9,7,9,5,8,10,16,7,18,9,2,4,2,2,1,2,14,12,0,5,5,5,9,5,5,2,17,16,9,16,9,9,1,5,48,71,26,1256,76,202,121,29,23,371,56,30,357,36,35,74,533,1031,54,55,132,54,19,42,26,23,8,6,
RegressionTest0::test20 ,6,4,8,2,4,7,13,3,15,6,5,2,4,4,5,5,11,7,5,0,1,4,6,0,0,4,14,13,6,14,8,6,5,2,44,67,23,1256,72,198,117,27,22,367,52,26,353,33,32,70,529,1027,50,51,128,50,17,38,25,21,9,8,
RegressionTest0::test21 ,6,5,8,2,4,7,13,4,15,6,4,2,5,5,5,5,11,8,5,1,0,4,6,1,1,5,14,13,7,14,8,6,5,2,44,67,23,1256,72,198,117,27,22,367,52,26,353,33,32,70,529,1027,50,51,128,50,17,38,25,21,9,8,
RegressionTest0::test22 ,4,2,4,5,5,5,11,6,13,4,6,4,6,6,6,6,9,10,5,4,4,0,4,4,4,6,12,11,4,11,4,4,6,5,45,68,24,1254,73,198,118,28,23,367,53,27,353,34,33,71,529,1027,51,52,129,51,18,39,26,22,12,9,
RegressionTest0::test23 ,0,6,8,7,4,1,7,7,9,0,10,7,10,10,10,10,5,6,9,6,6,4,0,6,6,10,8,7,7,8,8,0,10,6,43,65,22,1253,70,194,115,26,21,363,51,24,349,33,31,68,525,1023,49,49,125,48,17,37,24,22,14,13,
RegressionTest0::test24 ,6,4,8,2,4,7,13,3,15,6,5,2,4,4,5,5,11,7,5,0,1,4,6,0,0,4,14,13,6,14,8,6,5,2,44,67,23,1256,72,198,117,27,22,367,52,26,353,33,32,70,529,1027,50,51,128,50,17,38,25,21,9,8,
RegressionTest0::test25 ,6,4,8,2,4,7,13,3,15,6,5,2,4,4,5,5,11,7,5,0,1,4,6,0,0,4,14,13,6,14,8,6,5,2,44,67,23,1256,72,198,117,27,22,367,52,26,353,33,32,70,529,1027,50,51,128,50,17,38,25,21,9,8,
RegressionTest0::test26 ,10,7,10,5,8,11,17,5,19,10,2,4,1,0,2,3,15,11,2,4,5,6,10,4,4,0,18,17,9,17,10,10,2,5,48,71,26,1257,76,202,121,29,24,371,56,30,357,36,35,74,533,1031,54,55,132,54,19,42,27,24,9,7,
RegressionTest0::test27 ,8,12,11,15,11,8,8,14,9,8,18,15,18,18,18,18,6,11,17,14,14,12,8,14,14,18,0,8,12,5,8,8,18,14,41,61,21,1251,66,188,110,26,22,355,48,22,341,31,28,62,519,1017,45,46,120,45,19,35,24,22,20,21,
RegressionTest0::test28 ,7,10,10,14,11,8,0,13,6,7,17,14,17,17,17,17,4,11,16,13,13,11,7,13,13,17,8,0,8,8,7,7,17,13,43,64,23,1250,68,192,114,26,22,358,51,24,344,32,30,66,521,1019,48,48,123,47,20,37,24,22,21,20,
