:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet,DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString,DataUtilTest::shouldNotThrowExceptionOnEmptyCharset,DataUtilTest::shouldReturnNullForIllegalCharsetNames,DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,DataUtil_ESTest::test00,DataUtil_ESTest::test01,DataUtil_ESTest::test02,DataUtil_ESTest::test03,DataUtil_ESTest::test04,DataUtil_ESTest::test05,DataUtil_ESTest::test06,DataUtil_ESTest::test07,DataUtil_ESTest::test08,DataUtil_ESTest::test09,DataUtil_ESTest::test10,DataUtil_ESTest::test11,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,RegressionTest0::test35,RegressionTest0::test36,RegressionTest0::test37,RegressionTest0::test38,RegressionTest0::test39,RegressionTest0::test40,RegressionTest0::test41,RegressionTest0::test42,RegressionTest0::test43,RegressionTest0::test44,RegressionTest0::test45,RegressionTest0::test46,RegressionTest0::test47,RegressionTest0::test48,RegressionTest0::test49,RegressionTest0::test50,RegressionTest0::test51,RegressionTest0::test52,RegressionTest0::test53,RegressionTest0::test54,RegressionTest0::test55,RegressionTest0::test56,RegressionTest0::test57,RegressionTest0::test58,RegressionTest0::test59,RegressionTest0::test60,RegressionTest0::test61,RegressionTest0::test62,RegressionTest0::test63,RegressionTest0::test64,RegressionTest0::test65,RegressionTest0::test66,RegressionTest0::test67,RegressionTest0::test68,RegressionTest0::test69,RegressionTest0::test70,RegressionTest0::test71,RegressionTest0::test72,RegressionTest0::test73,RegressionTest0::test74,RegressionTest0::test75,RegressionTest0::test76,RegressionTest0::test77,RegressionTest0::test78,RegressionTest0::test79,RegressionTest0::test80,RegressionTest0::test81,RegressionTest0::test82,RegressionTest0::test83,RegressionTest0::test84,RegressionTest0::test85,RegressionTest0::test86,
DataUtilTest::discardsSpuriousByteOrderMark ,0,1,0,2,1,0,4,1,2,2,2,1,3,0,4,9,8,0,1,0,7,5,7,8,6,7,5,7,6,6,6,8,5,6,6,6,8,6,8,8,8,6,5,6,5,6,7,6,7,6,6,6,6,6,7,9,6,5,15,7,7,9,7,84,84,5,6,6,6,6,6,7,14,6,9,6,6,13,84,7,7,6,5,6,13,5,5,8,5,6,13,6,6,5,8,7,7,6,8,8,6,6,25,5,8,8,
DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet ,1,0,1,1,0,1,3,0,1,1,2,1,2,1,4,9,8,1,0,1,6,5,6,7,5,6,5,6,5,5,5,7,5,5,5,5,7,5,7,7,7,5,5,5,5,5,6,5,6,5,5,5,5,5,6,8,5,5,14,6,6,8,6,83,83,5,5,5,5,5,5,6,13,5,8,5,5,12,83,6,6,5,5,5,12,5,5,7,5,5,12,5,5,5,7,6,6,5,7,7,5,5,24,5,7,7,
DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString ,0,1,0,2,1,0,4,1,2,2,2,1,3,0,4,9,8,0,1,0,7,5,7,8,6,7,5,7,6,6,6,8,5,6,6,6,8,6,8,8,8,6,5,6,5,6,7,6,7,6,6,6,6,6,7,9,6,5,15,7,7,9,7,84,84,5,6,6,6,6,6,7,14,6,9,6,6,13,84,7,7,6,5,6,13,5,5,8,5,6,13,6,6,5,8,7,7,6,8,8,6,6,25,5,8,8,
DataUtilTest::shouldNotThrowExceptionOnEmptyCharset ,2,1,2,0,1,2,2,1,1,1,2,2,2,2,4,9,8,2,1,2,5,5,5,7,5,5,5,5,5,5,5,7,5,5,5,5,7,5,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,14,6,6,8,6,83,83,5,5,5,5,5,5,6,13,5,8,5,5,12,83,6,5,5,5,5,12,5,5,7,5,5,12,5,5,5,7,6,5,5,7,7,5,5,24,5,7,7,
DataUtilTest::shouldReturnNullForIllegalCharsetNames ,1,0,1,1,0,1,3,0,1,1,2,1,2,1,4,9,8,1,0,1,6,5,6,7,5,6,5,6,5,5,5,7,5,5,5,5,7,5,7,7,7,5,5,5,5,5,6,5,6,5,5,5,5,5,6,8,5,5,14,6,6,8,6,83,83,5,5,5,5,5,5,6,13,5,8,5,5,12,83,6,6,5,5,5,12,5,5,7,5,5,12,5,5,5,7,6,6,5,7,7,5,5,24,5,7,7,
DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags ,0,1,0,2,1,0,4,1,2,2,2,1,3,0,4,9,8,0,1,0,7,5,7,8,6,7,5,7,6,6,6,8,5,6,6,6,8,6,8,8,8,6,5,6,5,6,7,6,7,6,6,6,6,6,7,9,6,5,15,7,7,9,7,84,84,5,6,6,6,6,6,7,14,6,9,6,6,13,84,7,7,6,5,6,13,5,5,8,5,6,13,6,6,5,8,7,7,6,8,8,6,6,25,5,8,8,
DataUtilTest::testCharset ,4,3,4,2,3,4,0,3,3,3,4,4,3,4,4,9,8,4,3,4,5,5,5,7,5,5,5,5,5,5,5,7,5,5,5,5,7,5,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,14,6,6,8,6,83,83,5,5,5,5,5,5,6,13,5,8,5,5,12,83,6,5,5,5,5,12,5,5,7,5,5,12,5,5,5,7,6,5,5,7,7,5,5,24,5,7,7,
DataUtilTest::testQuotedCharset ,1,0,1,1,0,1,3,0,1,1,2,1,2,1,4,9,8,1,0,1,6,5,6,7,5,6,5,6,5,5,5,7,5,5,5,5,7,5,7,7,7,5,5,5,5,5,6,5,6,5,5,5,5,5,6,8,5,5,14,6,6,8,6,83,83,5,5,5,5,5,5,6,13,5,8,5,5,12,83,6,6,5,5,5,12,5,5,7,5,5,12,5,5,5,7,6,6,5,7,7,5,5,24,5,7,7,
DataUtil_ESTest::test00 ,2,1,2,1,1,2,3,1,0,0,1,1,2,2,3,9,8,2,1,2,6,4,6,7,5,6,4,6,5,5,5,7,4,5,5,5,7,5,7,7,7,5,4,5,4,5,6,5,6,5,5,5,5,5,6,8,5,4,14,6,6,8,6,83,83,4,5,5,5,5,5,6,13,5,8,5,5,12,83,6,6,5,4,5,12,4,4,7,4,5,12,5,5,4,7,6,6,5,7,7,5,5,24,4,7,7,
DataUtil_ESTest::test01 ,2,1,2,1,1,2,3,1,0,0,1,1,2,2,3,9,8,2,1,2,6,4,6,7,5,6,4,6,5,5,5,7,4,5,5,5,7,5,7,7,7,5,4,5,4,5,6,5,6,5,5,5,5,5,6,8,5,4,14,6,6,8,6,83,83,4,5,5,5,5,5,6,13,5,8,5,5,12,83,6,6,5,4,5,12,4,4,7,4,5,12,5,5,4,7,6,6,5,7,7,5,5,24,4,7,7,
