:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,DataUtil_ESTest::test0,DataUtil_ESTest::test1,DataUtil_ESTest::test2,DataUtil_ESTest::test3,DataUtil_ESTest::test4,DataUtil_ESTest::test5,DataUtil_ESTest::test6,DataUtil_ESTest::test7,DataUtil_ESTest::test8,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,RegressionTest0::test35,RegressionTest0::test36,RegressionTest0::test37,RegressionTest0::test38,RegressionTest0::test39,RegressionTest0::test40,
DataUtilTest::discardsSpuriousByteOrderMark ,0,19,15,16,22,13,16,15,10,15,19,19,21,20,20,21,21,20,21,22,20,20,20,21,21,18,20,18,21,20,20,20,21,20,18,21,20,21,20,20,21,21,21,20,21,20,20,21,21,21,20,21,
DataUtilTest::testCharset ,19,0,8,18,24,17,18,19,20,23,19,19,25,21,21,25,25,21,25,20,21,21,21,25,25,17,21,17,25,21,21,21,25,21,17,25,21,25,21,21,25,25,25,21,25,21,21,25,25,25,21,25,
DataUtilTest::testQuotedCharset ,15,8,0,14,25,11,14,16,17,22,12,13,25,20,20,25,25,20,25,20,20,20,20,25,25,13,20,13,25,20,20,20,25,20,13,25,20,25,20,20,25,25,25,20,25,20,20,25,25,25,20,25,
DataUtil_ESTest::test0 ,16,18,14,0,19,9,1,8,16,14,15,15,24,18,18,24,24,18,24,20,18,18,18,24,24,14,18,14,24,18,18,18,24,18,14,24,18,24,18,18,24,24,24,18,24,18,18,24,24,24,18,24,
DataUtil_ESTest::test1 ,22,24,25,19,0,20,19,16,24,20,27,28,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
DataUtil_ESTest::test2 ,13,17,11,9,20,0,9,8,14,22,11,12,23,17,17,23,23,17,23,18,17,17,17,23,23,15,17,15,23,17,17,17,23,17,15,23,17,23,17,17,23,23,23,17,23,17,17,23,23,23,17,23,
DataUtil_ESTest::test3 ,16,18,14,1,19,9,0,8,16,13,15,16,23,17,17,23,23,17,23,19,17,17,17,23,23,14,17,14,23,17,17,17,23,17,14,23,17,23,17,17,23,23,23,17,23,17,17,23,23,23,17,23,
DataUtil_ESTest::test4 ,15,19,16,8,16,8,8,0,18,19,16,15,25,20,20,25,25,20,25,20,20,20,20,25,25,17,20,17,25,20,20,20,25,20,17,25,20,25,20,20,25,25,25,20,25,20,20,25,25,25,20,25,
DataUtil_ESTest::test5 ,10,20,17,16,24,14,16,18,0,18,17,16,22,23,23,22,22,23,22,21,23,23,23,22,22,18,23,18,22,23,23,23,22,23,18,22,23,22,23,23,22,22,22,23,22,23,23,22,22,22,23,22,
DataUtil_ESTest::test6 ,15,23,22,14,20,22,13,19,18,0,26,27,23,23,23,23,23,23,23,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
