Class::Test,DataUtil:39, DataUtil:76, DataUtil:81, DataUtil:82, DataUtil:83, DataUtil:94, DataUtil:98, DataUtil:113, DataUtil:126, DataUtil:128, 
RegressionTest0::test001, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test003, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test006, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test007, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test010, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test011, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test012, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test013, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test014, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test015, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test016, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test017, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test018, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test019, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test020, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test021, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test022, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test023, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test024, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test025, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test026, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test027, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test028, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test029, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test030, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test031, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test032, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test033, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test034, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test035, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test036, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test037, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test038, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test039, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test040, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test041, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test042, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test043, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test044, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test045, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test046, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test047, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test048, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test049, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test050, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test051, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test052, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test053, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test054, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test055, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test056, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test057, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test058, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test059, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test060, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test061, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test062, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test063, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test064, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test065, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test066, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test067, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test068, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test069, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test070, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test071, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test072, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test073, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test074, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test075, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test076, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test077, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test078, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test079, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test080, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test081, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test082, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test083, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test084, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test085, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test086, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test087, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test088, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test089, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test090, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test091, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test092, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test093, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test094, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test095, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test096, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test097, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test098, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test099, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test100, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test101, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test102, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test103, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test104, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test105, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test106, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test107, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test108, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test109, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test110, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test111, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test112, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test113, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test114, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test115, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test116, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test117, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test118, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test119, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test120, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test121, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test122, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test123, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test124, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test125, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test126, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test127, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test128, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test129, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test130, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test131, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test132, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test133, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test134, 0,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test135, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test136, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test137, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test138, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test139, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test140, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test141, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test142, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test143, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test144, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test145, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test146, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test147, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test148, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test149, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test150, 0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test151, 0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test152, 0,0,0,0,0,0,0,0,0.5,0.5,
RegressionTest0::test153, 0,0.5,0,0,0,0,0,0,0,0,
DataUtilTest::testCharset , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 
DataUtilTest::testQuotedCharset , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 
DataUtilTest::discardsSpuriousByteOrderMark , 0 , 0.5 , 0 , 0 , 0 , 0.5 , 0.5 , 0 , 0 , 0 
DataUtil_ESTest::test0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test2 , 0.5 , 0.5 , 0.5 , 0 , 0 , 0.5 , 0 , 0.5 , 0 , 0 
DataUtil_ESTest::test3 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
