Class::Test,Parser:35, Parser:67, Parser:68, Parser:70, Parser:72, Parser:74, Parser:76, Parser:89, Parser:110, Parser:120, Parser:127, Parser:129, Parser:137, Parser:145, Parser:151, Parser:159, Parser:161, Parser:173, Parser:176, Parser:178, Parser:183, Parser:190, Parser:216, Parser:221, Parser:229, Parser:236, Parser:242, Parser:245, Parser:248, Parser:256, Parser:257, Parser:269, Parser:273, Parser:275, Parser:280, Parser:281, 
RegressionTest9::test4501, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4502, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4503, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4504, 0.5,1,0.5,0.5,0.5,1,1,0,1,1,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4505, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4506, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4507, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4508, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4509, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4510, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4511, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4512, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4513, 0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4514, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4515, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4516, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4517, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4518, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4519, 0.5,1,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4520, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
