Class::Test,Whitelist:187, Whitelist:210, Whitelist:214, Whitelist:244, Whitelist:294, Whitelist:300, Whitelist:306, Whitelist:322, Whitelist:323, Whitelist:324, Whitelist:327, Whitelist:333, Whitelist:342, Whitelist:344, Whitelist:347, Whitelist:349, Whitelist:359, Whitelist:361, Whitelist:422, Whitelist:428, Whitelist:429, Whitelist:430, Whitelist:432, Whitelist:433, Whitelist:434, 
RegressionTest1::test501, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test502, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test503, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test504, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test505, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test506, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test507, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test508, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test509, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test510, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test511, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test512, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test513, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test514, 1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test515, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
