Class::Test,TreeBuilderState:16, TreeBuilderState:18, TreeBuilderState:20, TreeBuilderState:26, TreeBuilderState:39, TreeBuilderState:42, TreeBuilderState:44, TreeBuilderState:46, TreeBuilderState:49, TreeBuilderState:51, TreeBuilderState:68, TreeBuilderState:70, TreeBuilderState:72, TreeBuilderState:75, TreeBuilderState:77, TreeBuilderState:81, TreeBuilderState:84, TreeBuilderState:96, TreeBuilderState:100, TreeBuilderState:110, TreeBuilderState:112, TreeBuilderState:115, TreeBuilderState:117, TreeBuilderState:120, TreeBuilderState:122, TreeBuilderState:124, TreeBuilderState:128, TreeBuilderState:134, TreeBuilderState:144, TreeBuilderState:147, TreeBuilderState:167, TreeBuilderState:169, TreeBuilderState:171, TreeBuilderState:174, TreeBuilderState:177, TreeBuilderState:179, TreeBuilderState:196, TreeBuilderState:198, TreeBuilderState:200, TreeBuilderState:202, TreeBuilderState:205, TreeBuilderState:207, TreeBuilderState:211, TreeBuilderState:214, TreeBuilderState:220, TreeBuilderState:226, TreeBuilderState:227, TreeBuilderState:247, TreeBuilderState:250, TreeBuilderState:254, TreeBuilderState:275, TreeBuilderState:279, TreeBuilderState:280, TreeBuilderState:283, TreeBuilderState:285, TreeBuilderState:288, TreeBuilderState:294, TreeBuilderState:295, TreeBuilderState:299, TreeBuilderState:302, TreeBuilderState:305, TreeBuilderState:309, TreeBuilderState:312, TreeBuilderState:317, TreeBuilderState:321, TreeBuilderState:325, TreeBuilderState:326, TreeBuilderState:329, TreeBuilderState:334, TreeBuilderState:335, TreeBuilderState:341, TreeBuilderState:342, TreeBuilderState:346, TreeBuilderState:351, TreeBuilderState:354, TreeBuilderState:356, TreeBuilderState:360, TreeBuilderState:363, TreeBuilderState:367, TreeBuilderState:370, TreeBuilderState:372, TreeBuilderState:376, TreeBuilderState:379, TreeBuilderState:383, TreeBuilderState:384, TreeBuilderState:389, TreeBuilderState:390, TreeBuilderState:400, TreeBuilderState:401, TreeBuilderState:407, TreeBuilderState:415, TreeBuilderState:420, TreeBuilderState:422, TreeBuilderState:429, TreeBuilderState:434, TreeBuilderState:435, TreeBuilderState:441, TreeBuilderState:445, TreeBuilderState:448, TreeBuilderState:450, TreeBuilderState:452, TreeBuilderState:453, TreeBuilderState:458, TreeBuilderState:462, TreeBuilderState:465, TreeBuilderState:470, TreeBuilderState:477, TreeBuilderState:485, TreeBuilderState:486, TreeBuilderState:494, TreeBuilderState:501, TreeBuilderState:502, TreeBuilderState:508, TreeBuilderState:511, TreeBuilderState:514, TreeBuilderState:520, TreeBuilderState:524, TreeBuilderState:525, TreeBuilderState:529, TreeBuilderState:530, TreeBuilderState:532, TreeBuilderState:538, TreeBuilderState:543, TreeBuilderState:548, TreeBuilderState:561, TreeBuilderState:562, TreeBuilderState:569, TreeBuilderState:571, TreeBuilderState:573, TreeBuilderState:578, TreeBuilderState:584, TreeBuilderState:588, TreeBuilderState:591, TreeBuilderState:596, TreeBuilderState:601, TreeBuilderState:602, TreeBuilderState:608, TreeBuilderState:612, TreeBuilderState:613, TreeBuilderState:618, TreeBuilderState:622, TreeBuilderState:623, TreeBuilderState:628, TreeBuilderState:632, TreeBuilderState:633, TreeBuilderState:638, TreeBuilderState:642, TreeBuilderState:645, TreeBuilderState:649, TreeBuilderState:651, TreeBuilderState:653, TreeBuilderState:657, TreeBuilderState:660, TreeBuilderState:667, TreeBuilderState:669, TreeBuilderState:672, TreeBuilderState:677, TreeBuilderState:688, TreeBuilderState:689, TreeBuilderState:691, TreeBuilderState:694, TreeBuilderState:702, TreeBuilderState:706, TreeBuilderState:713, TreeBuilderState:714, TreeBuilderState:718, TreeBuilderState:725, TreeBuilderState:734, TreeBuilderState:735, TreeBuilderState:736, TreeBuilderState:741, TreeBuilderState:746, TreeBuilderState:767, TreeBuilderState:769, TreeBuilderState:771, TreeBuilderState:776, TreeBuilderState:788, TreeBuilderState:790, TreeBuilderState:796, TreeBuilderState:806, TreeBuilderState:811, TreeBuilderState:813, TreeBuilderState:816, TreeBuilderState:819, TreeBuilderState:824, TreeBuilderState:828, TreeBuilderState:831, TreeBuilderState:835, TreeBuilderState:838, TreeBuilderState:841, TreeBuilderState:843, TreeBuilderState:845, TreeBuilderState:846, TreeBuilderState:851, TreeBuilderState:853, TreeBuilderState:862, TreeBuilderState:866, TreeBuilderState:867, TreeBuilderState:874, TreeBuilderState:881, TreeBuilderState:882, TreeBuilderState:892, TreeBuilderState:904, TreeBuilderState:907, TreeBuilderState:915, TreeBuilderState:916, TreeBuilderState:917, TreeBuilderState:920, TreeBuilderState:940, TreeBuilderState:943, TreeBuilderState:948, TreeBuilderState:955, TreeBuilderState:957, TreeBuilderState:961, TreeBuilderState:963, TreeBuilderState:975, TreeBuilderState:979, TreeBuilderState:989, TreeBuilderState:991, TreeBuilderState:999, TreeBuilderState:1000, TreeBuilderState:1011, TreeBuilderState:1023, TreeBuilderState:1030, TreeBuilderState:1034, TreeBuilderState:1038, TreeBuilderState:1042, TreeBuilderState:1050, TreeBuilderState:1051, TreeBuilderState:1059, TreeBuilderState:1061, TreeBuilderState:1074, TreeBuilderState:1090, TreeBuilderState:1094, TreeBuilderState:1099, TreeBuilderState:1104, TreeBuilderState:1108, TreeBuilderState:1109, TreeBuilderState:1116, TreeBuilderState:1118, TreeBuilderState:1119, TreeBuilderState:1125, TreeBuilderState:1143, TreeBuilderState:1151, TreeBuilderState:1155, TreeBuilderState:1156, TreeBuilderState:1162, TreeBuilderState:1167, TreeBuilderState:1170, TreeBuilderState:1171, TreeBuilderState:1180, TreeBuilderState:1181, TreeBuilderState:1183, TreeBuilderState:1200, TreeBuilderState:1208, TreeBuilderState:1211, TreeBuilderState:1227, TreeBuilderState:1229, TreeBuilderState:1232, TreeBuilderState:1233, TreeBuilderState:1235, TreeBuilderState:1238, TreeBuilderState:1241, TreeBuilderState:1243, TreeBuilderState:1247, TreeBuilderState:1256, TreeBuilderState:1257, TreeBuilderState:1259, TreeBuilderState:1263, TreeBuilderState:1264, TreeBuilderState:1268, TreeBuilderState:1269, TreeBuilderState:1280, TreeBuilderState:1296, TreeBuilderState:1300, TreeBuilderState:1302, TreeBuilderState:1314, TreeBuilderState:1316, TreeBuilderState:1318, TreeBuilderState:1321, TreeBuilderState:1323, TreeBuilderState:1324, TreeBuilderState:1330, TreeBuilderState:1342, TreeBuilderState:1344, TreeBuilderState:1346, TreeBuilderState:1349, TreeBuilderState:1352, TreeBuilderState:1354, TreeBuilderState:1356, TreeBuilderState:1358, TreeBuilderState:1364, TreeBuilderState:1365, TreeBuilderState:1370, TreeBuilderState:1374, TreeBuilderState:1375, TreeBuilderState:1388, TreeBuilderState:1390, TreeBuilderState:1392, TreeBuilderState:1395, TreeBuilderState:1397, TreeBuilderState:1399, TreeBuilderState:1401, TreeBuilderState:1412, TreeBuilderState:1414, TreeBuilderState:1416, TreeBuilderState:1428, TreeBuilderState:1430, TreeBuilderState:1432, TreeBuilderState:1434, TreeBuilderState:1456, TreeBuilderState:1459, TreeBuilderState:1461, 
RegressionTest1::test0501, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0,0.5,1,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,
RegressionTest1::test0502, 0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,
RegressionTest1::test0503, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,
RegressionTest1::test0504, 0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,
RegressionTest1::test0505, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,
RegressionTest1::test0506, 0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,
RegressionTest1::test0507, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,
RegressionTest1::test0508, 0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,
RegressionTest1::test0509, 0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,
RegressionTest1::test0510, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,
