Class::Test,Cleaner:43, Cleaner:64, Cleaner:77, Cleaner:78, Cleaner:81, Cleaner:92, Cleaner:108, Cleaner:109, 
RegressionTest1::test501, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test502, 0.5,0,1,0.5,0,0.5,0,0,
RegressionTest1::test503, 0,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test504, 0,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test505, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test506, 0.5,0,1,0.5,0,0.5,0,0,
RegressionTest1::test507, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test508, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test509, 0,0,0,0,0,0,0,0,
RegressionTest1::test510, 0.5,0.5,1,0.5,0,1,0,0,
RegressionTest1::test511, 0.5,0,1,0.5,0,0.5,0,0,
RegressionTest1::test512, 0.5,0,1,0.5,0,0.5,0,0,
RegressionTest1::test513, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test514, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test515, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test516, 0.5,0.5,1,0.5,0,1,0,0,
RegressionTest1::test517, 1,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test518, 0.5,0,0.5,0,0,0,0,0,
RegressionTest1::test519, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test520, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test521, 1,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test522, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test523, 1,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test524, 0.5,0,0.5,0,0,0,0,0,
RegressionTest1::test525, 0,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test526, 1,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test527, 0,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test528, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test529, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test530, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test531, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test532, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test533, 1,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test534, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test535, 0.5,0,1,0.5,0,1,0,0,
RegressionTest1::test536, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test537, 1,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test538, 0,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test539, 0.5,0,1,0.5,0,0.5,0,0,
RegressionTest1::test540, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test541, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test542, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test543, 0.5,0,1,0.5,0,0.5,0,0,
RegressionTest1::test544, 0,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test545, 0,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test546, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test547, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test548, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test549, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test550, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test551, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test552, 0.5,0.5,1,0.5,0,0.5,0,0,
RegressionTest1::test553, 0.5,0,1,0.5,0,0.5,0,0,
RegressionTest1::test554, 0.5,0.5,1,0.5,0,0.5,0,0,
