Class::Test,Entities:32, Entities:34, Entities:36, Entities:38, Entities:48, Entities:54, Entities:57, Entities:59, Entities:65, Entities:69, Entities:2233, Entities:2237, 
RegressionTest0::test001, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test002, 0,0,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test003, 0,0,0,0,0.5,0,0,0,0,0,1,1,
RegressionTest0::test004, 0,0,0,0,0.5,0,0,0,0,0,1,1,
RegressionTest0::test005, 0,0,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test006, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test007, 0,0,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test008, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test009, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test010, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test011, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test012, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test013, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test014, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test015, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test016, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test017, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test018, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test019, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test020, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test021, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test022, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test023, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test024, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test025, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test026, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
