Class::Test,DocumentType:35, DocumentType:37, DocumentType:39, 
RegressionTest0::test01, 0,0,0,
RegressionTest0::test02, 0,0,0,
RegressionTest0::test03, 0,0,0,
RegressionTest0::test04, 0,0,0,
RegressionTest0::test05, 0,0,0,
RegressionTest0::test06, 0,0,0,
RegressionTest0::test07, 0,0,0,
RegressionTest0::test08, 0,0,0,
RegressionTest0::test09, 0.5,0.5,0.5,
RegressionTest0::test10, 0,0,0,
RegressionTest0::test11, 0,0,0,
RegressionTest0::test12, 0,0,0,
RegressionTest0::test13, 0,0,0,
RegressionTest0::test14, 0,0,0,
RegressionTest0::test15, 0,0,0,
RegressionTest0::test16, 0.5,0.5,0.5,
RegressionTest0::test17, 0,0,0,
RegressionTest0::test18, 0,0,0,
RegressionTest0::test19, 0,0,0,
RegressionTest0::test20, 0,0,0,
RegressionTest0::test21, 0,0,0,
RegressionTest0::test22, 0,0,0,
RegressionTest0::test23, 0,0,0,
RegressionTest0::test24, 0.5,0.5,0.5,
RegressionTest0::test25, 0,0,0,
RegressionTest0::test26, 0,0,0,
RegressionTest0::test27, 0,0,0,
RegressionTest0::test28, 0.5,0.5,0.5,
RegressionTest0::test29, 0,0,0,
RegressionTest0::test30, 0.5,0.5,0.5,
RegressionTest0::test31, 0.5,0.5,0.5,
RegressionTest0::test32, 0,0,0,
RegressionTest0::test33, 0,0,0,
RegressionTest0::test34, 0,0,0,
RegressionTest0::test35, 0,0,0,
RegressionTest0::test36, 0,0,0,
RegressionTest0::test37, 0,0,0,
RegressionTest0::test38, 0,0,0,
RegressionTest0::test39, 0,0,0,
RegressionTest0::test40, 0,0,0,
RegressionTest0::test41, 0,0,0,
RegressionTest0::test42, 0.5,0.5,0.5,
RegressionTest0::test43, 0.5,0.5,0.5,
RegressionTest0::test44, 0,0,0,
RegressionTest0::test45, 0,0,0,
RegressionTest0::test46, 0,0,0,
RegressionTest0::test47, 0,0,0,
RegressionTest0::test48, 0.5,0.5,0.5,
RegressionTest0::test49, 0,0,0,
RegressionTest0::test50, 0,0,0,
RegressionTest0::test51, 0,0,0,
RegressionTest0::test52, 0,0,0,
RegressionTest0::test53, 0,0,0,
RegressionTest0::test54, 0,0,0,
RegressionTest0::test55, 0,0,0,
RegressionTest0::test56, 0,0,0,
RegressionTest0::test57, 0,0,0,
RegressionTest0::test58, 0,0,0,
RegressionTest0::test59, 0,0,0,
RegressionTest0::test60, 0,0,0,
RegressionTest0::test61, 0,0,0,
RegressionTest0::test62, 0,0,0,
RegressionTest0::test63, 0,0,0,
RegressionTest0::test64, 0,0,0,
RegressionTest0::test65, 0,0,0,
RegressionTest0::test66, 0,0,0,
RegressionTest0::test67, 0,0,0,
RegressionTest0::test68, 0,0,0,
RegressionTest0::test69, 0,0,0,
RegressionTest0::test70, 0,0,0,
RegressionTest0::test71, 0,0,0,
RegressionTest0::test72, 0,0,0,
RegressionTest0::test73, 0,0,0,
RegressionTest0::test74, 0,0,0,
RegressionTest0::test75, 0,0,0,
RegressionTest0::test76, 0,0,0,
RegressionTest0::test77, 0,0,0,
RegressionTest0::test78, 0,0,0,
