Class::Test,DataUtil:41, DataUtil:79, DataUtil:84, DataUtil:86, DataUtil:88, DataUtil:90, DataUtil:101, DataUtil:114, DataUtil:121, DataUtil:136, DataUtil:137, DataUtil:145, DataUtil:146, DataUtil:147, DataUtil:170, DataUtil:172, DataUtil:175, DataUtil:177, DataUtil:179, 
RegressionTest0::test01, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test02, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test03, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test04, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test05, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test06, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test07, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test08, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test09, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test10, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test11, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test12, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test13, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test14, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test15, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test16, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test17, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test18, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test19, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test20, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test21, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test22, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test23, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test24, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test25, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test26, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test27, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test28, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test29, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test30, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test31, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test32, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test33, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test34, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test35, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test36, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test37, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test38, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test39, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test40, 0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test41, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test42, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test43, 0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
RegressionTest0::test44, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test45, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test46, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test47, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test48, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test49, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test50, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test51, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test52, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test53, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test54, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test55, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test56, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test57, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test58, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test59, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test60, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test61, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test62, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test63, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test64, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test65, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test66, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test67, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test68, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test69, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test70, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test71, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test72, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test73, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test74, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test75, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test76, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test77, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test78, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test79, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test80, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test81, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test82, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test83, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test84, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,
RegressionTest0::test85, 0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
RegressionTest0::test86, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DataUtilTest::testCharset , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0.5 , 1 , 0.5 
DataUtilTest::testQuotedCharset , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 1 , 0.5 
DataUtilTest::discardsSpuriousByteOrderMark , 0 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet , 0 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtilTest::shouldNotThrowExceptionOnEmptyCharset , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 0 , 0 
DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 0.5 , 0 
DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 0.5 , 0 
DataUtilTest::shouldReturnNullForIllegalCharsetNames , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 0 , 0 
DataUtil_ESTest::test00 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test01 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test02 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test03 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test05 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test06 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test07 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test08 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 1 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test09 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0 , 0 , 0 
DataUtil_ESTest::test10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0 , 0 , 0 , 0 
DataUtil_ESTest::test11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0.5 , 0.5 , 0 , 0 
